row_id,hcp_id,period,specialty,region,territory_id,institution_type,decile,years_in_practice,calls_last_90d,days_since_last_call,email_sent_last_90d,emails_opened_last_90d,samples_dropped_last_90d,speaker_program_attended_12m,digital_engagement_score,patient_volume_est,nbrx_last_month,nbrx_3m_avg,trx_3m_avg,competitor_share_pct,payer_mix_commercial_pct,formulary_status,campaign_wave_id,followup_call_logged_flag,territory_target_refresh_flag
1,101159,2026-06,Primary Care,West,T-W40,Hospital,2,12.0,0,28.0,8,1,0,0,32.3,84.0,2.06,1.83,6.97,56.0,51.6,Non-preferred,W80,,1.0
2,100661,2026-02,Cardiology,Central,T-C75,Academic,10,15.0,5,11.0,3,0,5,0,42.1,181.0,6.54,6.21,24.98,21.0,65.0,Preferred,W100,,0.0
3,101249,2026-01,Endocrinology,South,T-S33,Private Clinic,6,24.0,2,18.0,5,2,2,0,44.1,133.0,4.2,4.02,12.67,34.6,47.8,Preferred,W26,,0.0
4,102266,2026-05,Nephrology,East,T-E47,Hospital,1,9.0,4,13.0,3,2,3,0,72.6,72.0,1.28,1.28,4.43,30.0,44.9,Non-preferred,W133,,0.0
5,101686,2026-04,Internal Medicine,West,T-W17,Hospital,2,16.0,1,22.0,4,2,2,0,44.4,84.0,1.79,1.83,8.13,43.3,29.4,Restricted,W212,,0.0
6,101426,2026-04,Primary Care,North,T-N14,Hospital,1,20.0,5,11.0,7,3,4,0,51.6,72.0,1.39,1.28,3.75,38.0,55.4,Restricted,W176,,0.0
7,100784,2026-05,Internal Medicine,North,T-N36,Hospital,3,12.0,0,28.0,3,1,0,0,52.2,96.0,1.43,2.37,7.73,29.9,36.0,Non-preferred,W185,,1.0
8,102009,2026-04,Internal Medicine,Central,T-C29,Private Clinic,6,21.0,4,13.0,5,2,6,0,39.1,133.0,3.22,4.02,14.09,65.0,78.2,Non-preferred,W79,,0.0
9,101664,2026-05,Internal Medicine,Central,T-C44,Private Clinic,3,14.0,4,13.0,8,1,2,0,50.7,96.0,0.83,2.37,8.83,30.9,76.5,Preferred,W61,,1.0
10,101989,2026-06,Primary Care,North,T-N47,Academic,4,17.0,0,28.0,6,0,0,0,31.1,108.0,3.43,2.92,14.92,40.7,62.6,Preferred,W18,,1.0
11,101931,2026-06,Nephrology,Central,T-C61,Hospital,3,33.0,3,15.0,12,4,5,0,51.6,96.0,3.02,2.37,9.98,49.6,49.9,Restricted,W187,0.0,0.0
12,102156,2026-02,Primary Care,West,T-W47,Hospital,10,20.0,3,15.0,5,1,3,1,47.0,181.0,4.52,6.21,23.69,37.6,64.1,Non-preferred,W43,0.0,0.0
13,102348,2026-05,Nephrology,East,T-E16,Academic,2,4.0,0,28.0,7,2,0,0,51.1,84.0,1.09,1.83,5.31,47.9,51.0,Non-preferred,W83,,1.0
14,101000,2026-04,Endocrinology,North,T-N25,Private Clinic,3,1.0,0,28.0,7,0,0,0,32.3,96.0,1.56,2.37,7.94,73.8,34.1,Non-preferred,W60,,0.0
15,101674,2026-06,Internal Medicine,South,T-S62,Private Clinic,6,2.0,5,11.0,3,0,5,0,61.7,133.0,4.03,4.02,14.46,11.2,42.7,Non-preferred,W213,0.0,0.0
16,100351,2026-06,Primary Care,East,T-E47,Group Practice,4,20.0,1,22.0,7,2,0,0,41.3,108.0,2.17,2.92,11.36,83.3,82.5,Preferred,W159,,0.0
17,101638,2026-05,Internal Medicine,West,T-W46,Group Practice,10,13.0,5,11.0,12,4,4,0,55.0,181.0,7.35,6.21,32.21,30.4,54.2,Restricted,W95,,1.0
18,101708,2026-04,Internal Medicine,East,T-E63,Hospital,5,2.0,6,10.0,6,1,8,0,55.0,120.0,3.98,3.47,12.23,37.6,88.7,Non-preferred,W22,,0.0
19,100213,2026-01,Endocrinology,North,T-N26,Private Clinic,6,8.0,2,18.0,13,2,0,1,32.0,133.0,4.81,4.02,14.72,57.4,42.5,Not covered,W107,,1.0
20,102132,2026-01,Nephrology,Central,T-C29,Private Clinic,8,4.0,6,10.0,2,2,7,0,55.3,157.0,6.09,5.11,18.96,54.6,70.0,Preferred,W201,,0.0
21,100905,2026-03,Endocrinology,East,T-E38,Academic,7,16.0,7,9.0,4,2,4,1,74.4,145.0,2.6,4.57,10.53,10.5,47.6,Restricted,W15,,1.0
22,102351,2026-06,Internal Medicine,West,T-W79,Group Practice,8,23.0,5,11.0,2,1,2,0,1.3,157.0,3.87,5.11,18.92,74.2,61.2,Non-preferred,W211,,0.0
23,101113,2026-06,Primary Care,North,T-N41,Private Clinic,6,17.0,4,13.0,11,5,1,0,41.3,133.0,5.85,4.02,16.57,56.9,56.7,Preferred,W35,,0.0
24,101080,2026-05,Endocrinology,North,T-N55,Hospital,6,1.0,4,13.0,3,1,6,0,46.1,133.0,3.22,4.02,15.85,35.1,33.4,Non-preferred,W162,,0.0
25,101619,2026-05,Internal Medicine,West,T-W51,Academic,6,29.0,6,10.0,6,2,5,0,81.3,133.0,1.78,4.02,12.79,35.3,30.6,Preferred,W17,0.0,1.0
26,101280,2026-04,Nephrology,South,T-S10,Hospital,10,9.0,3,15.0,4,0,1,1,66.7,181.0,7.36,6.21,21.53,13.4,64.5,Restricted,W86,,1.0
27,100704,2026-06,Cardiology,South,T-S18,Academic,10,11.0,5,11.0,8,2,6,0,41.3,181.0,6.28,6.21,27.61,23.3,49.4,Restricted,W201,,1.0
28,102094,2026-05,Primary Care,West,T-W38,Hospital,10,11.0,5,11.0,8,3,4,0,44.8,181.0,5.13,6.21,20.74,42.3,80.7,Preferred,W52,,0.0
29,101209,2026-03,Internal Medicine,East,T-E71,Academic,2,26.0,3,15.0,4,3,2,1,51.0,84.0,1.57,1.83,5.81,28.2,32.9,Non-preferred,W168,,0.0
30,100224,2026-03,Internal Medicine,North,T-N66,Private Clinic,9,16.0,6,10.0,7,2,7,0,50.8,169.0,9.01,5.66,18.05,13.2,43.2,Preferred,W67,,0.0
