hcp_id,period,specialty,region,territory_id,institution_type,decile,years_in_practice,calls_last_90d,days_since_last_call,email_sent_last_90d,emails_opened_last_90d,samples_dropped_last_90d,speaker_program_attended_12m,digital_engagement_score,patient_volume_est,nbrx_last_month,nbrx_3m_avg,trx_3m_avg,competitor_share_pct,payer_mix_commercial_pct,formulary_status,campaign_wave_id,followup_call_logged_flag,territory_target_refresh_flag,responded_strict,responded_loose
101962,2025-05,Nephrology,North,T-N16,Private Clinic,1,7.0,0,8.0,4,0,0,0,47.2,64.0,3.75,3.06,10.04,61.8,37.6,Non-preferred,W101,0.0,0.0,0,0
101747,2024-10,Internal Medicine,Central,T-C34,Private Clinic,3,3.0,2,5.0,7,3,0,0,49.2,86.0,5.01,5.69,14.82,73.8,79.0,Preferred,W147,0.0,1.0,0,0
101521,2024-01,Endocrinology,West,T-W63,Group Practice,2,10.0,0,8.0,8,3,0,0,59.1,75.0,5.09,4.37,17.94,54.3,67.9,Non-preferred,W199,0.0,0.0,0,0
100183,2024-12,Endocrinology,Central,T-C68,Private Clinic,6,24.0,5,3.0,11,5,2,0,67.7,118.0,3.29,9.62,24.24,59.7,60.7,Restricted,W148,0.0,0.0,0,0
100176,2025-05,Internal Medicine,North,T-N50,Private Clinic,4,10.0,4,4.0,3,0,3,0,73.1,97.0,7.73,7.0,18.22,45.1,57.2,Restricted,W170,0.0,0.0,0,0
101503,2024-11,Endocrinology,East,T-E64,Group Practice,1,18.0,3,4.0,4,1,4,0,63.1,64.0,3.41,3.06,9.75,71.2,33.1,Restricted,W218,0.0,0.0,0,0
100338,2025-07,Internal Medicine,North,T-N48,Hospital,5,16.0,5,3.0,5,2,6,0,31.7,107.0,8.39,8.31,29.4,56.7,89.5,Non-preferred,W149,1.0,0.0,1,1
101411,2024-07,Nephrology,West,T-W43,Group Practice,8,16.0,4,4.0,6,4,8,1,60.2,139.0,8.83,12.25,45.43,62.8,34.7,Non-preferred,W12,0.0,0.0,0,0
100563,2025-05,Internal Medicine,South,T-S60,Hospital,2,17.0,2,5.0,5,0,3,0,20.3,75.0,3.16,4.37,18.42,27.7,46.9,Non-preferred,W97,0.0,0.0,0,0
100827,2024-09,Endocrinology,North,T-N61,Group Practice,4,28.0,3,4.0,8,5,4,0,54.9,97.0,9.06,7.0,24.03,81.4,50.2,Not covered,W103,0.0,0.0,0,0
100340,2025-06,Primary Care,East,T-E65,Group Practice,10,18.0,6,3.0,9,4,6,0,29.4,161.0,12.28,14.87,61.23,56.9,83.2,Non-preferred,W204,0.0,0.0,0,0
100225,2025-12,Cardiology,Central,T-C21,Group Practice,9,35.0,2,5.0,10,3,2,0,52.4,150.0,17.0,13.56,36.07,25.2,59.5,Preferred,W71,0.0,0.0,0,0
101744,2025-11,Primary Care,South,T-S22,Private Clinic,3,19.0,3,4.0,4,1,3,0,27.8,86.0,6.4,5.69,15.69,52.9,32.7,Not covered,W199,0.0,0.0,0,0
101295,2024-03,Cardiology,West,T-W50,Private Clinic,4,16.0,2,5.0,5,1,0,0,27.4,97.0,7.94,7.0,33.15,84.2,73.4,Non-preferred,W90,0.0,0.0,0,0
100066,2025-11,Cardiology,West,T-W43,Group Practice,10,19.0,4,4.0,11,2,3,0,71.4,161.0,16.76,14.87,61.88,44.0,68.0,Non-preferred,W24,0.0,0.0,0,1
101618,2024-09,Internal Medicine,North,T-N15,Academic,6,26.0,1,6.0,7,3,1,1,51.2,118.0,5.35,9.62,28.36,32.7,55.3,Non-preferred,W30,1.0,0.0,0,0
100337,2025-03,Primary Care,East,T-E67,Private Clinic,9,23.0,5,3.0,7,2,5,1,80.8,150.0,8.65,13.56,38.96,80.1,44.0,Preferred,W144,0.0,0.0,0,1
100270,2024-05,Cardiology,North,T-N23,Group Practice,7,18.0,1,6.0,8,1,0,0,55.8,129.0,12.15,10.94,43.09,60.4,31.2,Restricted,W62,0.0,1.0,0,1
100577,2024-08,Primary Care,West,T-W22,Academic,9,8.0,5,3.0,6,2,8,1,67.7,150.0,8.06,13.56,53.18,58.0,53.8,Restricted,W171,0.0,0.0,0,0
