model,target,capacity,months,rows,positives,selected,true_positives_selected,precision,precision_min,precision_max,recall,lift,average_precision,roc_auc,prevalence,mean_prediction,brier,log_loss
core_logistic,responded_strict,0.05,3,6075,451,305,87,0.285154986086844,0.25742574257425743,0.3137254901960784,0.192622379339127,3.836919265605436,0.22233139699197477,0.775780101171678,0.07423121407972523,0.08122757185924535,0.06318579984629223,0.22981275123584477
core_logistic,responded_strict,0.1,3,6075,451,609,153,0.2511869775792416,0.23267326732673269,0.26108374384236455,0.33906220847449303,3.3823539779934957,0.22233139699197477,0.775780101171678,0.07423121407972523,0.08122757185924535,0.06318579984629223,0.22981275123584477
core_logistic,responded_strict,0.2,3,6075,451,1216,237,0.19487787670899626,0.18610421836228289,0.2,0.5254264250994255,2.6250035491269146,0.22233139699197477,0.775780101171678,0.07423121407972523,0.08122757185924535,0.06318579984629223,0.22981275123584477
decile,responded_strict,0.05,3,6075,451,305,51,0.16718436549537308,0.15841584158415842,0.17647058823529413,0.11308882015024303,2.252283764156614,0.13543408909055055,0.7061945862324982,0.07423121407972523,,,
decile,responded_strict,0.1,3,6075,451,609,97,0.15918290612022665,0.12376237623762376,0.18137254901960784,0.21442529582167233,2.139296652396827,0.13543408909055055,0.7061945862324982,0.07423121407972523,,,
decile,responded_strict,0.2,3,6075,451,1216,188,0.15454155561682445,0.13399503722084366,0.16666666666666666,0.41619089703932827,2.0793198650909654,0.13543408909055055,0.7061945862324982,0.07423121407972523,,,
extended_boosting,responded_strict,0.05,3,6075,451,305,96,0.3146314631463147,0.27722772277227725,0.3431372549019608,0.2125290911769038,4.233258130601082,0.25062580077087987,0.7797427320635567,0.07423121407972523,0.07981110459520567,0.06258886204514413,0.2284008620633373
extended_boosting,responded_strict,0.1,3,6075,451,609,160,0.2626409844693539,0.23267326732673269,0.28431372549019607,0.3542593410909805,3.534110416571893,0.25062580077087987,0.7797427320635567,0.07423121407972523,0.07981110459520567,0.06258886204514413,0.2284008620633373
extended_boosting,responded_strict,0.2,3,6075,451,1216,250,0.2055493235495344,0.19106699751861042,0.21323529411764705,0.5540069720626504,2.767809041198088,0.25062580077087987,0.7797427320635567,0.07423121407972523,0.07981110459520567,0.06258886204514413,0.2284008620633373
extended_logistic,responded_strict,0.05,3,6075,451,305,96,0.3145991069695205,0.26732673267326734,0.37254901960784315,0.2122531546128541,4.22844733187935,0.24308659257586832,0.7797891842294201,0.07423121407972523,0.08093626041993705,0.0626302713404167,0.22792505517684658
extended_logistic,responded_strict,0.1,3,6075,451,609,161,0.2642668425057516,0.22772277227722773,0.28921568627450983,0.35634899592478025,3.555021566671004,0.24308659257586832,0.7797891842294201,0.07423121407972523,0.08093626041993705,0.0626302713404167,0.22792505517684658
extended_logistic,responded_strict,0.2,3,6075,451,1216,251,0.20638053800082048,0.19602977667493796,0.21323529411764705,0.5563509598860903,2.77949498867723,0.24308659257586832,0.7797891842294201,0.07423121407972523,0.08093626041993705,0.0626302713404167,0.22792505517684658
