term,coefficient
numeric__decile,0.7669084008065331
numeric__competitor_share_pct,-0.23726864918698523
numeric__years_in_practice,0.036292920882448836
numeric__email_sent_last_90d,-0.008292696258249794
numeric__emails_opened_last_90d,0.014912240317579845
numeric__digital_engagement_score,0.22657921263513972
numeric__payer_mix_commercial_pct,-0.00862989102949873
category__specialty_Cardiology,0.21479331524490503
category__specialty_Endocrinology,0.26795285786149886
category__specialty_Internal Medicine,-0.12185775230081484
category__specialty_Nephrology,-0.008403563019107683
category__specialty_Primary Care,-0.3527929542887064
category__formulary_status_Non-preferred,0.22225332851731325
category__formulary_status_Not covered,-0.7850369612484567
category__formulary_status_Preferred,0.864293370316208
category__formulary_status_Restricted,-0.3018178340872789
category__region_Central,0.043508028178555945
category__region_East,-0.02182541442656934
category__region_North,0.031147933515369593
category__region_South,-0.036523259807881674
category__region_West,-0.016615383961697875
category__institution_type_Academic,-0.08673912402186969
category__institution_type_Group Practice,0.02014330713362125
category__institution_type_Hospital,0.09461342190218812
category__institution_type_Private Clinic,-0.028325701516155873
intercept,-3.1357859339635157
