model,period,target,capacity,rows,selected,true_positives_selected,precision,recall,prevalence,lift
decile,2025-10,responded_strict,0.01,2021,21,5,0.23809523809523808,0.031446540880503145,0.07867392380009897,3.0263551961665165
decile,2025-10,responded_strict,0.02,2021,41,10,0.24390243902439024,0.06289308176100629,0.07867392380009897,3.1001687375364315
decile,2025-10,responded_strict,0.03,2021,61,16,0.26229508196721313,0.10062893081761007,0.07867392380009897,3.333951953809671
decile,2025-10,responded_strict,0.04,2021,81,20,0.24691358024691357,0.12578616352201258,0.07867392380009897,3.138442425654165
decile,2025-10,responded_strict,0.05,2021,102,25,0.24509803921568626,0.15723270440251572,0.07867392380009897,3.1153656431125905
decile,2025-10,responded_strict,0.06,2021,122,28,0.22950819672131148,0.1761006289308176,0.07867392380009897,2.917207959583462
decile,2025-10,responded_strict,0.07,2021,142,29,0.20422535211267606,0.18238993710691823,0.07867392380009897,2.5958455133315614
decile,2025-10,responded_strict,0.08,2021,162,32,0.19753086419753085,0.20125786163522014,0.07867392380009897,2.5107539405233323
decile,2025-10,responded_strict,0.09,2021,182,36,0.1978021978021978,0.22641509433962265,0.07867392380009897,2.5142027783537215
decile,2025-10,responded_strict,0.1,2021,203,42,0.20689655172413793,0.2641509433962264,0.07867392380009897,2.629798308392973
decile,2025-10,responded_strict,0.11,2021,223,47,0.21076233183856502,0.29559748427672955,0.07867392380009897,2.6789350480864145
decile,2025-10,responded_strict,0.12,2021,243,53,0.21810699588477367,0.3333333333333333,0.07867392380009897,2.7722908093278464
decile,2025-10,responded_strict,0.13,2021,263,55,0.20912547528517111,0.34591194968553457,0.07867392380009897,2.6581294688762944
decile,2025-10,responded_strict,0.14,2021,283,57,0.20141342756183744,0.3584905660377358,0.07867392380009897,2.5601040069337953
decile,2025-10,responded_strict,0.15,2021,304,58,0.19078947368421054,0.36477987421383645,0.07867392380009897,2.4250662032439587
decile,2025-10,responded_strict,0.16,2021,324,58,0.17901234567901234,0.36477987421383645,0.07867392380009897,2.2753707585992697
decile,2025-10,responded_strict,0.17,2021,344,61,0.17732558139534885,0.3836477987421384,0.07867392380009897,2.2539308176100628
decile,2025-10,responded_strict,0.18,2021,364,61,0.16758241758241757,0.3836477987421384,0.07867392380009897,2.130088464994125
decile,2025-10,responded_strict,0.19,2021,384,63,0.1640625,0.39622641509433965,0.07867392380009897,2.0853478773584904
decile,2025-10,responded_strict,0.2,2021,405,63,0.15555555555555556,0.39622641509433965,0.07867392380009897,1.9772187281621243
decile,2025-10,responded_strict,0.21,2021,425,67,0.15764705882352942,0.42138364779874216,0.07867392380009897,2.0038031816500186
decile,2025-10,responded_strict,0.22,2021,445,69,0.1550561797752809,0.4339622641509434,0.07867392380009897,1.970871316514734
decile,2025-10,responded_strict,0.23,2021,465,72,0.15483870967741936,0.4528301886792453,0.07867392380009897,1.9681071211199026
