model,target,capacity,months,rows,positives,selected,true_positives_selected,precision,precision_min,precision_max,recall,lift,average_precision,roc_auc,prevalence,mean_prediction,brier,log_loss
core_logistic,responded_strict,0.05,3,6060,460,305,95,0.31155762635087036,0.29411764705882354,0.33663366336633666,0.2066495455556836,4.106413827157403,0.23964092770017578,0.777306959617,0.07591004693735827,0.08083593093740164,0.06402964351762482,0.23203333570645823
core_logistic,responded_strict,0.1,3,6060,460,608,166,0.2730413435432213,0.2660098522167488,0.28217821782178215,0.36166583993190154,3.6048009885706036,0.23964092770017578,0.777306959617,0.07591004693735827,0.08083593093740164,0.06402964351762482,0.23203333570645823
core_logistic,responded_strict,0.2,3,6060,460,1214,244,0.20099621073218432,0.18518518518518517,0.2103960396039604,0.5302506982707603,2.646887604084056,0.23964092770017578,0.777306959617,0.07591004693735827,0.08083593093740164,0.06402964351762482,0.23203333570645823
decile,responded_strict,0.05,3,6060,460,305,55,0.18006212385944476,0.09900990099009901,0.24509803921568626,0.12012799450105398,2.383943363048266,0.14315043220462928,0.7057372762608588,0.07591004693735827,,,
decile,responded_strict,0.1,3,6060,460,608,109,0.1792258043538344,0.1485148514851485,0.20689655172413793,0.23758853995300142,2.36764282364183,0.14315043220462928,0.7057372762608588,0.07591004693735827,,,
decile,responded_strict,0.2,3,6060,460,1214,188,0.15485270749297153,0.14603960396039603,0.16296296296296298,0.4103941993839295,2.0486026453859663,0.14315043220462928,0.7057372762608588,0.07591004693735827,,,
extended_boosting,responded_strict,0.05,3,6060,460,305,101,0.33116546948812525,0.3137254901960784,0.3431372549019608,0.22040099326939547,4.378995502069821,0.24956108412307457,0.7749613427594683,0.07591004693735827,0.07910152392416535,0.06396153234986533,0.23268436125111056
extended_boosting,responded_strict,0.1,3,6060,460,608,159,0.26153896177795116,0.22660098522167488,0.28078817733990147,0.344866422487631,3.4373860694994174,0.24956108412307457,0.7749613427594683,0.07591004693735827,0.07910152392416535,0.06396153234986533,0.23268436125111056
extended_boosting,responded_strict,0.2,3,6060,460,1214,245,0.2018151815181518,0.1925925925925926,0.2074074074074074,0.5330242959810669,2.660735124830938,0.24956108412307457,0.7749613427594683,0.07591004693735827,0.07910152392416535,0.06396153234986533,0.23268436125111056
extended_logistic,responded_strict,0.05,3,6060,460,305,103,0.3376367048469553,0.31683168316831684,0.35294117647058826,0.22456732822149586,4.460885479703745,0.24325723072952407,0.7764263227432253,0.07591004693735827,0.08045278506268581,0.06388184456461031,0.23176259339024738
extended_logistic,responded_strict,0.1,3,6060,460,608,164,0.2697572712936318,0.2512315270935961,0.28217821782178215,0.3565347027252927,3.5536711742657725,0.24325723072952407,0.7764263227432253,0.07591004693735827,0.08045278506268581,0.06388184456461031,0.23176259339024738
extended_logistic,responded_strict,0.2,3,6060,460,1214,241,0.1985250376889541,0.18765432098765433,0.2079207920792079,0.5241826877843119,2.616608067715416,0.24325723072952407,0.7764263227432253,0.07591004693735827,0.08045278506268581,0.06388184456461031,0.23176259339024738
