bin,rows,positives,predicted,observed,minimum_score,maximum_score
"(0.00112, 0.013]",606,1,0.008774658145642376,0.0016501650165016502,0.0021152166559859024,0.012977701708067248
"(0.013, 0.0212]",606,11,0.01707646947916499,0.018151815181518153,0.012990359808601692,0.021161271409340536
"(0.0212, 0.0303]",606,15,0.025511412078258664,0.024752475247524754,0.02116680992598962,0.03028281506337982
"(0.0303, 0.0405]",606,17,0.035139218588130815,0.028052805280528052,0.03029561384911102,0.04044880021296475
"(0.0405, 0.0548]",606,26,0.047290300804212114,0.0429042904290429,0.04051188103422602,0.054734262318427054
"(0.0548, 0.0726]",606,32,0.06301506370433343,0.052805280528052806,0.05480710209649225,0.07259085213430162
"(0.0726, 0.0954]",606,48,0.08293397051876704,0.07920792079207921,0.07260186118133244,0.09541120068103455
"(0.0954, 0.13]",606,68,0.11144504830337085,0.11221122112211221,0.0954491256178859,0.1296941579585176
"(0.13, 0.186]",606,80,0.1552316315055998,0.132013201320132,0.12980563138638077,0.18619600657248467
"(0.186, 0.501]",606,162,0.258103642808698,0.26732673267326734,0.186248339755738,0.5006752580323672
