model,period,target,capacity,rows,positives,selected,true_positives_selected,prevalence,precision,recall,lift,average_precision,roc_auc,mean_prediction,brier,log_loss
extra_label_delay_selected,2025-10,responded_strict,0.05,2021,159,102,36,0.07867392380009897,0.35294117647058826,0.22641509433962265,4.486126526082131,0.266688729494725,0.7894230184625985,0.08029707704435807,0.06533891080918937,0.23386253258606318
extra_label_delay_selected,2025-10,responded_strict,0.1,2021,159,203,56,0.07867392380009897,0.27586206896551724,0.3522012578616352,3.506397744523964,0.266688729494725,0.7894230184625985,0.08029707704435807,0.06533891080918937,0.23386253258606318
extra_label_delay_selected,2025-10,responded_strict,0.2,2021,159,405,83,0.07867392380009897,0.20493827160493827,0.5220125786163522,2.6049072132929574,0.266688729494725,0.7894230184625985,0.08029707704435807,0.06533891080918937,0.23386253258606318
extra_label_delay_selected,2025-11,responded_strict,0.05,2017,158,101,31,0.07833415964303421,0.3069306930693069,0.1962025316455696,3.918222834941722,0.22882479640735276,0.7626667392977031,0.08159601382252638,0.06626888167073071,0.24053840226193388
extra_label_delay_selected,2025-11,responded_strict,0.1,2017,158,202,55,0.07833415964303421,0.2722772277227723,0.34810126582278483,3.475842837448302,0.22882479640735276,0.7626667392977031,0.08159601382252638,0.06626888167073071,0.24053840226193388
extra_label_delay_selected,2025-11,responded_strict,0.2,2017,158,404,84,0.07833415964303421,0.2079207920792079,0.5316455696202531,2.6542799849605214,0.22882479640735276,0.7626667392977031,0.08159601382252638,0.06626888167073071,0.24053840226193388
extra_label_delay_selected,2025-12,responded_strict,0.05,2022,143,102,34,0.07072205736894165,0.3333333333333333,0.23776223776223776,4.7132867132867124,0.23177095881716087,0.7757660115297156,0.08022614429325457,0.06013639106950009,0.22136127913222098
extra_label_delay_selected,2025-12,responded_strict,0.1,2022,143,203,52,0.07072205736894165,0.2561576354679803,0.36363636363636365,3.6220331392745186,0.23177095881716087,0.7757660115297156,0.08022614429325457,0.06013639106950009,0.22136127913222098
extra_label_delay_selected,2025-12,responded_strict,0.2,2022,143,405,76,0.07072205736894165,0.18765432098765433,0.5314685314685315,2.6534058534058533,0.23177095881716087,0.7757660115297156,0.08022614429325457,0.06013639106950009,0.22136127913222098
extra_label_delay_decile,2025-10,responded_strict,0.05,2021,159,102,25,0.07867392380009897,0.24509803921568626,0.15723270440251572,3.1153656431125905,0.15495744055800614,0.725288625877362,,,
extra_label_delay_decile,2025-10,responded_strict,0.1,2021,159,203,42,0.07867392380009897,0.20689655172413793,0.2641509433962264,2.629798308392973,0.15495744055800614,0.725288625877362,,,
extra_label_delay_decile,2025-10,responded_strict,0.2,2021,159,405,63,0.07867392380009897,0.15555555555555556,0.39622641509433965,1.9772187281621243,0.15495744055800614,0.725288625877362,,,
extra_label_delay_decile,2025-11,responded_strict,0.05,2017,158,101,10,0.07833415964303421,0.09900990099009901,0.06329113924050633,1.2639428499812007,0.13249238724796852,0.6770194265325717,,,
extra_label_delay_decile,2025-11,responded_strict,0.1,2017,158,202,30,0.07833415964303421,0.1485148514851485,0.189873417721519,1.895914274971801,0.13249238724796852,0.6770194265325717,,,
extra_label_delay_decile,2025-11,responded_strict,0.2,2017,158,404,59,0.07833415964303421,0.14603960396039603,0.37341772151898733,1.8643157037222708,0.13249238724796852,0.6770194265325717,,,
extra_label_delay_decile,2025-12,responded_strict,0.05,2022,143,102,20,0.07072205736894165,0.19607843137254902,0.13986013986013987,2.7725215960510075,0.14200146880791312,0.7149037763726429,,,
extra_label_delay_decile,2025-12,responded_strict,0.1,2022,143,203,37,0.07072205736894165,0.18226600985221675,0.25874125874125875,2.577215887560715,0.14200146880791312,0.7149037763726429,,,
extra_label_delay_decile,2025-12,responded_strict,0.2,2022,143,405,66,0.07072205736894165,0.16296296296296298,0.46153846153846156,2.3042735042735045,0.14200146880791312,0.7149037763726429,,,
loose_selected,2025-10,responded_loose,0.05,2021,530,102,85,0.26224641266699655,0.8333333333333334,0.16037735849056603,3.1776729559748427,0.5882577148445102,0.7750895308960682,0.30293521590151845,0.15627836921022517,0.48096209872919443
loose_selected,2025-10,responded_loose,0.1,2021,530,203,143,0.26224641266699655,0.7044334975369458,0.269811320754717,2.6861511292871083,0.5882577148445102,0.7750895308960682,0.30293521590151845,0.15627836921022517,0.48096209872919443
loose_selected,2025-10,responded_loose,0.2,2021,530,405,243,0.26224641266699655,0.6,0.45849056603773586,2.2879245283018865,0.5882577148445102,0.7750895308960682,0.30293521590151845,0.15627836921022517,0.48096209872919443
loose_selected,2025-11,responded_loose,0.05,2017,546,101,77,0.270699058006941,0.7623762376237624,0.14102564102564102,2.8163239400863165,0.5824085899149031,0.7821347019171628,0.3062265722606235,0.15803288684919606,0.48214042827966413
loose_selected,2025-11,responded_loose,0.1,2017,546,202,142,0.270699058006941,0.7029702970297029,0.2600732600732601,2.596870126573097,0.5824085899149031,0.7821347019171628,0.3062265722606235,0.15803288684919606,0.48214042827966413
loose_selected,2025-11,responded_loose,0.2,2017,546,404,249,0.270699058006941,0.6163366336633663,0.45604395604395603,2.276833315199652,0.5824085899149031,0.7821347019171628,0.3062265722606235,0.15803288684919606,0.48214042827966413
