model,target,capacity,months,rows,positives,selected,true_positives_selected,precision,precision_min,precision_max,recall,lift,average_precision,roc_auc,prevalence,mean_prediction,brier,log_loss
extra_label_delay_decile,responded_strict,0.05,3,6060,460,305,55,0.18006212385944476,0.09900990099009901,0.24509803921568626,0.12012799450105398,2.383943363048266,0.14315043220462928,0.7057372762608588,0.07591004693735827,,,
extra_label_delay_decile,responded_strict,0.1,3,6060,460,608,109,0.1792258043538344,0.1485148514851485,0.20689655172413793,0.23758853995300142,2.36764282364183,0.14315043220462928,0.7057372762608588,0.07591004693735827,,,
extra_label_delay_decile,responded_strict,0.2,3,6060,460,1214,188,0.15485270749297153,0.14603960396039603,0.16296296296296298,0.4103941993839295,2.0486026453859663,0.14315043220462928,0.7057372762608588,0.07591004693735827,,,
extra_label_delay_selected,responded_strict,0.05,3,6060,460,305,101,0.33106840095774287,0.3069306930693069,0.35294117647058826,0.22012662124914337,4.372545358103522,0.24242816157307953,0.7759519230966724,0.07591004693735827,0.08070641172004633,0.06391472784980672,0.23192073799340598
extra_label_delay_selected,responded_strict,0.1,3,6060,460,608,163,0.26809897738542326,0.2561576354679803,0.27586206896551724,0.3546462957735946,3.5347579070822612,0.24242816157307953,0.7759519230966724,0.07591004693735827,0.08070641172004633,0.06391472784980672,0.23192073799340598
extra_label_delay_selected,responded_strict,0.2,3,6060,460,1214,243,0.2001711282239335,0.18765432098765433,0.2079207920792079,0.5283755599017123,2.6375310172197772,0.24242816157307953,0.7759519230966724,0.07591004693735827,0.08070641172004633,0.06391472784980672,0.23192073799340598
loose_decile,responded_loose,0.05,3,6060,1623,305,160,0.5247201190707306,0.4803921568627451,0.5643564356435643,0.09862064050950257,1.959783502433292,0.4190427859994729,0.699359468480231,0.267823234702061,,,
loose_decile,responded_loose,0.1,3,6060,1623,608,303,0.49841486611715363,0.47783251231527096,0.5346534653465347,0.1866600383622908,1.860562967438981,0.4190427859994729,0.699359468480231,0.267823234702061,,,
loose_decile,responded_loose,0.2,3,6060,1623,1214,569,0.46872427983539094,0.45185185185185184,0.5,0.3505422149242645,1.7498280209538877,0.4190427859994729,0.699359468480231,0.267823234702061,,,
loose_selected,responded_loose,0.05,3,6060,1623,305,237,0.7770012295347182,0.7352941176470589,0.8333333333333334,0.14617150562788864,2.904010364428889,0.578432781976364,0.7779598804530248,0.267823234702061,0.30350906169793784,0.15802449476999006,0.4831290014022684
loose_selected,responded_loose,0.1,3,6060,1623,608,425,0.6990196556601473,0.6896551724137931,0.7044334975369458,0.2619420266379668,2.6107832940744804,0.578432781976364,0.7779598804530248,0.267823234702061,0.30350906169793784,0.15802449476999006,0.4831290014022684
loose_selected,responded_loose,0.2,3,6060,1623,1214,727,0.5988611824145377,0.5802469135802469,0.6163366336633663,0.4480502032776877,2.236551980289214,0.578432781976364,0.7779598804530248,0.267823234702061,0.30350906169793784,0.15802449476999006,0.4831290014022684
unfamiliar_hcp_decile,responded_strict,0.05,3,1214,106,62,12,0.1952380952380952,0.14285714285714285,0.3,0.11988795518207283,2.365612911831399,0.1443809750349843,0.665704853594671,0.08729574176929888,,,
unfamiliar_hcp_decile,responded_strict,0.1,3,1214,106,122,20,0.16402439024390245,0.14634146341463414,0.175,0.19402427637721753,1.933274122657193,0.1443809750349843,0.665704853594671,0.08729574176929888,,,
unfamiliar_hcp_decile,responded_strict,0.2,3,1214,106,243,35,0.14399779182977016,0.12345679012345678,0.15853658536585366,0.3401493930905695,1.6997671496582172,0.1443809750349843,0.665704853594671,0.08729574176929888,,,
unfamiliar_hcp_selected,responded_strict,0.05,3,1214,106,62,29,0.4666666666666666,0.4,0.5238095238095238,0.2760971055088702,5.410119603396915,0.3187427641191823,0.7539724941812151,0.08729574176929888,0.08123793423333552,0.07196850164737771,0.26117670646885643
unfamiliar_hcp_selected,responded_strict,0.1,3,1214,106,122,38,0.31158536585365854,0.2682926829268293,0.34146341463414637,0.3690009337068161,3.6772334950240264,0.3187427641191823,0.7539724941812151,0.08729574176929888,0.08123793423333552,0.07196850164737771,0.26117670646885643
unfamiliar_hcp_selected,responded_strict,0.2,3,1214,106,243,54,0.2222435511392151,0.2073170731707317,0.24691358024691357,0.5142857142857142,2.5694689398393105,0.3187427641191823,0.7539724941812151,0.08729574176929888,0.08123793423333552,0.07196850164737771,0.26117670646885643
