model,period,target,capacity,rows,positives,selected,true_positives_selected,prevalence,precision,recall,lift,average_precision,roc_auc,mean_prediction,brier,log_loss
decile,2025-07,responded_strict,0.05,2025,150,102,18,0.07407407407407407,0.17647058823529413,0.12,2.382352941176471,0.1443188343830283,0.7291804444444444,,,
decile,2025-07,responded_strict,0.1,2025,150,203,35,0.07407407407407407,0.1724137931034483,0.23333333333333334,2.327586206896552,0.1443188343830283,0.7291804444444444,,,
decile,2025-07,responded_strict,0.2,2025,150,405,66,0.07407407407407407,0.16296296296296298,0.44,2.2,0.1443188343830283,0.7291804444444444,,,
decile,2025-08,responded_strict,0.05,2012,146,101,16,0.07256461232604373,0.15841584158415842,0.1095890410958904,2.1831005018310052,0.1145841481751694,0.672613017369217,,,
decile,2025-08,responded_strict,0.1,2012,146,202,25,0.07256461232604373,0.12376237623762376,0.17123287671232876,1.7055472670554728,0.1145841481751694,0.672613017369217,,,
decile,2025-08,responded_strict,0.2,2012,146,403,54,0.07256461232604373,0.13399503722084366,0.3698630136986301,1.8465617458105306,0.1145841481751694,0.672613017369217,,,
decile,2025-09,responded_strict,0.05,2038,155,102,17,0.0760549558390579,0.16666666666666666,0.10967741935483871,2.1913978494623656,0.1473992847134539,0.7167902968838333,,,
decile,2025-09,responded_strict,0.1,2038,155,204,37,0.0760549558390579,0.18137254901960784,0.23870967741935484,2.3847564832384567,0.1473992847134539,0.7167902968838333,,,
decile,2025-09,responded_strict,0.2,2038,155,408,68,0.0760549558390579,0.16666666666666666,0.43870967741935485,2.1913978494623656,0.1473992847134539,0.7167902968838333,,,
decile,2025-10,responded_strict,0.05,2021,159,102,25,0.07867392380009897,0.24509803921568626,0.15723270440251572,3.1153656431125905,0.15495744055800614,0.725288625877362,,,
decile,2025-10,responded_strict,0.1,2021,159,203,42,0.07867392380009897,0.20689655172413793,0.2641509433962264,2.629798308392973,0.15495744055800614,0.725288625877362,,,
decile,2025-10,responded_strict,0.2,2021,159,405,63,0.07867392380009897,0.15555555555555556,0.39622641509433965,1.9772187281621243,0.15495744055800614,0.725288625877362,,,
decile,2025-11,responded_strict,0.05,2017,158,101,10,0.07833415964303421,0.09900990099009901,0.06329113924050633,1.2639428499812007,0.13249238724796852,0.6770194265325717,,,
decile,2025-11,responded_strict,0.1,2017,158,202,30,0.07833415964303421,0.1485148514851485,0.189873417721519,1.895914274971801,0.13249238724796852,0.6770194265325717,,,
decile,2025-11,responded_strict,0.2,2017,158,404,59,0.07833415964303421,0.14603960396039603,0.37341772151898733,1.8643157037222708,0.13249238724796852,0.6770194265325717,,,
decile,2025-12,responded_strict,0.05,2022,143,102,20,0.07072205736894165,0.19607843137254902,0.13986013986013987,2.7725215960510075,0.14200146880791312,0.7149037763726429,,,
decile,2025-12,responded_strict,0.1,2022,143,203,37,0.07072205736894165,0.18226600985221675,0.25874125874125875,2.577215887560715,0.14200146880791312,0.7149037763726429,,,
