model,target,capacity,months,rows,positives,selected,true_positives_selected,precision,precision_min,precision_max,recall,lift,average_precision,roc_auc,prevalence,mean_prediction,brier,log_loss
core_logistic,responded_strict,0.05,6,12135,911,610,181,0.2967223192907526,0.25742574257425743,0.33663366336633666,0.19847046128190415,3.9485621997476605,0.2313108406798913,0.776034891594236,0.07507063050854175,0.08146195634180405,0.06363147201053063,0.23109983492859731
core_logistic,responded_strict,0.1,6,12135,911,1217,316,0.2596551708198928,0.23267326732673269,0.2871287128712871,0.3469914381341699,3.460020764070054,0.2313108406798913,0.776034891594236,0.07507063050854175,0.08146195634180405,0.06363147201053063,0.23109983492859731
core_logistic,responded_strict,0.2,6,12135,911,2430,480,0.19752552108684543,0.18271604938271604,0.2103960396039604,0.5266730605195918,2.6301267041199465,0.2313108406798913,0.776034891594236,0.07507063050854175,0.08146195634180405,0.06363147201053063,0.23109983492859731
decile,responded_strict,0.05,6,12135,911,610,106,0.17362324467740894,0.09900990099009901,0.24509803921568626,0.11660840732564852,2.31811356360244,0.1392922606475899,0.7059659312466785,0.07507063050854175,,,
decile,responded_strict,0.1,6,12135,911,1217,206,0.1692043552370305,0.12376237623762376,0.20689655172413793,0.22600691788733684,2.2534697380193283,0.1392922606475899,0.7059659312466785,0.07507063050854175,,,
decile,responded_strict,0.2,6,12135,911,2430,376,0.15469713155489798,0.13399503722084366,0.16666666666666666,0.4132925482116289,2.063961255238466,0.1392922606475899,0.7059659312466785,0.07507063050854175,,,
extended_boosting,responded_strict,0.05,6,12135,911,610,195,0.3195981362842167,0.27722772277227725,0.3431372549019608,0.21423805444564836,4.261660145656403,0.25031071012731426,0.7768693550169984,0.07507063050854175,0.07979968156463461,0.06328241650877169,0.23064234438917505
extended_boosting,responded_strict,0.1,6,12135,911,1217,327,0.26866624651453846,0.23267326732673269,0.2871287128712871,0.35866559342366294,3.5764684406495952,0.25031071012731426,0.7768693550169984,0.07507063050854175,0.07979968156463461,0.06328241650877169,0.23064234438917505
extended_boosting,responded_strict,0.2,6,12135,911,2430,493,0.20285818864597283,0.19012345679012346,0.21323529411764705,0.5412952805356824,2.703186781987385,0.25031071012731426,0.7768693550169984,0.07507063050854175,0.07979968156463461,0.06328241650877169,0.23064234438917505
extended_logistic,responded_strict,0.05,6,12135,911,610,197,0.3228337539636317,0.26732673267326734,0.37254901960784315,0.2163071710671498,4.302831587337777,0.24312007370536984,0.7775405537894562,0.07507063050854175,0.0811079686158049,0.0632801120850618,0.22999982153336754
extended_logistic,responded_strict,0.1,6,12135,911,1217,322,0.26454087382079267,0.22772277227722773,0.28921568627450983,0.3534012097904872,3.5240183217306567,0.24312007370536984,0.7775405537894562,0.07507063050854175,0.0811079686158049,0.0632801120850618,0.22999982153336754
extended_logistic,responded_strict,0.2,6,12135,911,2430,494,0.20327583311237699,0.19012345679012346,0.21323529411764705,0.5424805430300523,2.7091011380579526,0.24312007370536984,0.7775405537894562,0.07507063050854175,0.0811079686158049,0.0632801120850618,0.22999982153336754
