period,model,capacity,selected,precision
2025-10,decile,0.01,21,0.23809523809523808
2025-10,decile,0.02,41,0.24390243902439024
2025-10,decile,0.03,61,0.26229508196721313
2025-10,decile,0.04,81,0.24691358024691357
2025-10,decile,0.05,102,0.24509803921568626
2025-10,decile,0.06,122,0.22950819672131148
2025-10,decile,0.07,142,0.20422535211267606
2025-10,decile,0.08,162,0.19753086419753085
2025-10,decile,0.09,182,0.1978021978021978
2025-10,decile,0.1,203,0.20689655172413793
2025-10,decile,0.11,223,0.21076233183856502
2025-10,decile,0.12,243,0.21810699588477367
2025-10,decile,0.13,263,0.20912547528517111
2025-10,decile,0.14,283,0.20141342756183744
2025-10,decile,0.15,304,0.19078947368421054
2025-10,decile,0.16,324,0.17901234567901234
2025-10,decile,0.17,344,0.17732558139534885
2025-10,decile,0.18,364,0.16758241758241757
2025-10,decile,0.19,384,0.1640625
2025-10,decile,0.2,405,0.15555555555555556
2025-10,decile,0.21,425,0.15764705882352942
2025-10,decile,0.22,445,0.1550561797752809
2025-10,decile,0.23,465,0.15483870967741936
2025-10,decile,0.24,486,0.15020576131687244
2025-10,decile,0.25,506,0.1600790513833992
2025-10,decile,0.26,526,0.1596958174904943
2025-10,decile,0.27,546,0.1575091575091575
2025-10,decile,0.28,566,0.15547703180212014
2025-10,decile,0.29,587,0.151618398637138
2025-10,decile,0.3,607,0.14991762767710048
2025-10,decile,0.31,627,0.1467304625199362
2025-10,decile,0.32,647,0.1437403400309119
2025-10,decile,0.33,667,0.1424287856071964
2025-10,decile,0.34,688,0.14534883720930233
2025-10,decile,0.35,708,0.1440677966101695
2025-10,decile,0.36,728,0.14285714285714285
2025-10,decile,0.37,748,0.14171122994652408
2025-10,decile,0.38,768,0.140625
2025-10,decile,0.39,789,0.13814955640050697
2025-10,decile,0.4,809,0.13597033374536466
2025-10,decile,0.41,829,0.1338962605548854
2025-10,decile,0.42,849,0.13427561837455831
2025-10,decile,0.43,870,0.13333333333333333
2025-10,decile,0.44,890,0.1303370786516854
2025-10,decile,0.45,910,0.12857142857142856
2025-10,decile,0.46,930,0.13118279569892474
2025-10,decile,0.47,950,0.12947368421052632
2025-10,decile,0.48,971,0.12873326467559218
2025-10,decile,0.49,991,0.12916246215943492
2025-10,decile,0.5,1011,0.12957467853610286
2025-10,decile,0.51,1031,0.12900096993210475
2025-10,decile,0.52,1051,0.12749762131303521
2025-10,decile,0.53,1072,0.125
2025-10,decile,0.54,1092,0.12362637362637363
2025-10,decile,0.55,1112,0.1223021582733813
2025-10,decile,0.56,1132,0.12014134275618374
2025-10,decile,0.57,1152,0.12152777777777778
2025-10,decile,0.58,1173,0.12020460358056266
2025-10,decile,0.59,1193,0.11986588432523052
2025-10,decile,0.6,1213,0.11953833470733718
2025-10,decile,0.61,1233,0.11759935117599352
2025-10,decile,0.62,1254,0.11722488038277512
2025-10,decile,0.63,1274,0.11538461538461539
2025-10,decile,0.64,1294,0.1143740340030912
2025-10,decile,0.65,1314,0.11339421613394216
2025-10,decile,0.66,1334,0.11169415292353824
2025-10,decile,0.67,1355,0.1099630996309963
2025-10,decile,0.68,1375,0.10836363636363637
2025-10,decile,0.69,1395,0.10752688172043011
2025-10,decile,0.7,1415,0.10600706713780919
2025-10,decile,0.71,1435,0.10452961672473868
2025-10,decile,0.72,1456,0.10302197802197802
2025-10,decile,0.73,1476,0.1016260162601626
2025-10,decile,0.74,1496,0.10026737967914438
2025-10,decile,0.75,1516,0.10026385224274406
2025-10,decile,0.76,1536,0.099609375
2025-10,decile,0.77,1557,0.09826589595375723
2025-10,decile,0.78,1577,0.09701965757767914
2025-10,decile,0.79,1597,0.09643080776455855
