model,capacity,precision
core_logistic,0.01,0.3968253968253968
core_logistic,0.02,0.3658536585365854
core_logistic,0.03,0.360655737704918
core_logistic,0.04,0.3251028806584362
core_logistic,0.05,0.31155762635087036
core_logistic,0.06,0.2978142076502732
core_logistic,0.07,0.28169014084507044
core_logistic,0.08,0.28189300411522633
core_logistic,0.09,0.28021978021978017
core_logistic,0.1,0.2730413435432213
core_logistic,0.11,0.2649847156573614
core_logistic,0.12,0.25788751714677643
core_logistic,0.13,0.24968314321926488
core_logistic,0.14,0.24472453093117005
core_logistic,0.15,0.234916912743906
core_logistic,0.16,0.2255475289531017
core_logistic,0.17,0.21533380794178136
core_logistic,0.18,0.21062271062271062
core_logistic,0.19,0.2055690836940837
core_logistic,0.2,0.20099621073218432
core_logistic,0.21,0.19937846836847947
core_logistic,0.22,0.19266120052636906
core_logistic,0.23,0.18926638802293438
core_logistic,0.24,0.18463083167168695
core_logistic,0.25,0.18128334572587693
core_logistic,0.26,0.17818938982437083
core_logistic,0.27,0.17593283373099888
core_logistic,0.28,0.17491929549078164
core_logistic,0.29,0.17509864733033387
core_logistic,0.3,0.1730761214506953
core_logistic,0.31,0.17074392826873072
core_logistic,0.32,0.16795810616055573
core_logistic,0.33,0.16442252476106808
core_logistic,0.34,0.1605235948199878
core_logistic,0.35,0.15786932560831826
core_logistic,0.36,0.15666520549601706
core_logistic,0.37,0.15419389285276142
core_logistic,0.38,0.15191497406260485
core_logistic,0.39,0.1488381381221787
core_logistic,0.4,0.14680466396982725
core_logistic,0.41,0.1440124166711172
core_logistic,0.42,0.14291890701210144
core_logistic,0.43,0.14110475484224094
core_logistic,0.44,0.13793147079663934
core_logistic,0.45,0.13709557696341837
core_logistic,0.46,0.1351765749720453
core_logistic,0.47,0.1337332046190494
core_logistic,0.48,0.132255428053383
core_logistic,0.49,0.13093133108662153
core_logistic,0.5,0.129658330547656
core_logistic,0.51,0.12807325374206727
core_logistic,0.52,0.12722320124973002
core_logistic,0.53,0.1253882456874506
core_logistic,0.54,0.12339561559745045
core_logistic,0.55,0.12204029884564703
core_logistic,0.56,0.12076684288097604
core_logistic,0.57,0.11895942488125215
core_logistic,0.58,0.11774615457479908
core_logistic,0.59,0.11629833418140946
core_logistic,0.6,0.11462421871525719
core_logistic,0.61,0.11330511435783445
core_logistic,0.62,0.11226361813260714
core_logistic,0.63,0.11049985569486524
core_logistic,0.64,0.10953779743893682
core_logistic,0.65,0.10860397021769756
core_logistic,0.66,0.10722497340255877
core_logistic,0.67,0.10635221293041335
core_logistic,0.68,0.1050470889654563
core_logistic,0.69,0.10399490389701577
core_logistic,0.7,0.10346706623784184
core_logistic,0.71,0.10246549294126406
core_logistic,0.72,0.10126185182103971
core_logistic,0.73,0.09986783650765611
core_logistic,0.74,0.09853206318515882
core_logistic,0.75,0.0972315513045962
core_logistic,0.76,0.09618179551334531
core_logistic,0.77,0.0953314999557774
core_logistic,0.78,0.09452567910639338
core_logistic,0.79,0.0933413615656457
core_logistic,0.8,0.09239287982706258
core_logistic,0.81,0.0916523070745837
core_logistic,0.82,0.09073037375257363
core_logistic,0.83,0.08962972189491923
core_logistic,0.84,0.08896617683197776
core_logistic,0.85,0.0881244068430868
core_logistic,0.86,0.08728425525286154
core_logistic,0.87,0.08627596916871126
core_logistic,0.88,0.08530544334485819
core_logistic,0.89,0.08452546157307278
core_logistic,0.9,0.08377887836823496
core_logistic,0.91,0.08320056061341284
core_logistic,0.92,0.08230541472733151
core_logistic,0.93,0.08142932539608176
core_logistic,0.94,0.08057169049223094
core_logistic,0.95,0.07989111474830306
core_logistic,0.96,0.07904046751188427
core_logistic,0.97,0.07823390421028632
core_logistic,0.98,0.07744363569461397
core_logistic,0.99,0.07666917310355481
core_logistic,1.0,0.07591004693735827
decile,0.01,0.19047619047619047
decile,0.02,0.1869918699186992
decile,0.03,0.16939890710382513
decile,0.04,0.1728395061728395
decile,0.05,0.18006212385944476
decile,0.06,0.16939890710382513
decile,0.07,0.1643192488262911
decile,0.08,0.16872427983539096
decile,0.09,0.1794871794871795
decile,0.1,0.1792258043538344
decile,0.11,0.18110262729096807
decile,0.12,0.17969821673525377
decile,0.13,0.1761723700887199
decile,0.14,0.170602531561572
decile,0.15,0.17232644317063284
decile,0.16,0.1647746818025456
decile,0.17,0.16391224263791895
decile,0.18,0.15842490842490842
decile,0.19,0.15698051948051947
decile,0.2,0.15485270749297153
decile,0.21,0.15776544580096188
decile,0.22,0.1559216519890677
decile,0.23,0.15340240547039233
decile,0.24,0.1496217102937225
decile,0.25,0.1516116829074212
decile,0.26,0.15282032711690507
decile,0.27,0.15149488635727168
decile,0.28,0.14958805546239662
decile,0.29,0.14837820391483084
decile,0.3,0.1456032753192947
decile,0.31,0.1425512906091349
decile,0.32,0.13910138384014
decile,0.33,0.13692948754983605
decile,0.34,0.13675503423960947
decile,0.35,0.1352451145148125
decile,0.36,0.13421671176141603
decile,0.37,0.1323536890709374
decile,0.38,0.13237918232814477
decile,0.39,0.1302298815403883
decile,0.4,0.12865792670131407
decile,0.41,0.12711146020963124
decile,0.42,0.12799475847409436
decile,0.43,0.12691615021982097
decile,0.44,0.12518810945777237
decile,0.45,0.12353358829129753
decile,0.46,0.1240600491508978
decile,0.47,0.12214980642651364
decile,0.48,0.12023252938590291
decile,0.49,0.11948690897552187
decile,0.5,0.11877147871595468
decile,0.51,0.11869566235440322
decile,0.52,0.11738795986664752
decile,0.53,0.11512065839029152
decile,0.54,0.11423362570151561
decile,0.55,0.11244688229892519
decile,0.56,0.11075453210270446
decile,0.57,0.11027760145416354
decile,0.58,0.10921371893238901
decile,0.59,0.1081898817831135
decile,0.6,0.10802831107564936
decile,0.61,0.10654564503111753
decile,0.62,0.10534538876076172
decile,0.63,0.10395198447350858
decile,0.64,0.10335141851824342
decile,0.65,0.10251394425089795
decile,0.66,0.10147652832827099
decile,0.67,0.10044214939190811
decile,0.68,0.09946497040374591
decile,0.69,0.0984939313163765
decile,0.7,0.0975726090696236
decile,0.71,0.09688798375420056
decile,0.72,0.09644895996410104
decile,0.73,0.09534744258029489
decile,0.74,0.09451808270822526
decile,0.75,0.09393005426034402
decile,0.76,0.09292347098339176
decile,0.77,0.09211606321432912
decile,0.78,0.09177556138285199
decile,0.79,0.09146179047360758
decile,0.8,0.09053656921969262
decile,0.81,0.08981831442051759
decile,0.82,0.08932050202763402
decile,0.83,0.08823739780059807
decile,0.84,0.08759050498382599
decile,0.85,0.08657040370771814
decile,0.86,0.08555647437246554
decile,0.87,0.08513679994161327
decile,0.88,0.08436689845362584
