model,period,target,capacity,rows,positives,selected,true_positives_selected,prevalence,precision,recall,lift,average_precision,roc_auc,mean_prediction,brier,log_loss,stage
core_logistic,2025-07,responded_strict,0.05,2025,150,102,29,0.074074074074074,0.284313725490196,0.1933333333333333,3.838235294117647,0.2352577045435819,0.7949226666666668,0.0814993444348461,0.0623885608057404,0.2246826001010723,development
core_logistic,2025-07,responded_strict,0.1,2025,150,203,53,0.074074074074074,0.2610837438423645,0.3533333333333333,3.5246305418719217,0.2352577045435819,0.7949226666666668,0.0814993444348461,0.0623885608057404,0.2246826001010723,development
core_logistic,2025-07,responded_strict,0.2,2025,150,405,81,0.074074074074074,0.2,0.54,2.7,0.2352577045435819,0.7949226666666668,0.0814993444348461,0.0623885608057404,0.2246826001010723,development
core_logistic,2025-08,responded_strict,0.05,2012,146,101,26,0.0725646123260437,0.2574257425742574,0.1780821917808219,3.5475383154753835,0.1876406970833104,0.7522555756214302,0.08020803923255,0.0631406991602268,0.2327403240499011,development
core_logistic,2025-08,responded_strict,0.1,2012,146,202,47,0.0725646123260437,0.2326732673267326,0.3219178082191781,3.206428862064289,0.1876406970833104,0.7522555756214302,0.08020803923255,0.0631406991602268,0.2327403240499011,development
core_logistic,2025-08,responded_strict,0.2,2012,146,403,75,0.0725646123260437,0.1861042183622828,0.5136986301369864,2.564669091403515,0.1876406970833104,0.7522555756214302,0.08020803923255,0.0631406991602268,0.2327403240499011,development
core_logistic,2025-09,responded_strict,0.05,2038,155,102,32,0.0760549558390579,0.3137254901960784,0.2064516129032258,4.124984187223276,0.2440957893490319,0.7801620612269372,0.0819753319103397,0.0640281395729093,0.2320153295565609,development
core_logistic,2025-09,responded_strict,0.1,2038,155,204,53,0.0760549558390579,0.2598039215686274,0.3419354838709677,3.416002530044276,0.2440957893490319,0.7801620612269372,0.0819753319103397,0.0640281395729093,0.2320153295565609,development
core_logistic,2025-09,responded_strict,0.2,2038,155,408,81,0.0760549558390579,0.1985294117647058,0.5225806451612903,2.6103415559772296,0.2440957893490319,0.7801620612269372,0.0819753319103397,0.0640281395729093,0.2320153295565609,development
decile,2025-07,responded_strict,0.05,2025,150,102,18,0.074074074074074,0.1764705882352941,0.12,2.382352941176471,0.1443188343830283,0.7291804444444444,,,,development
decile,2025-07,responded_strict,0.1,2025,150,203,35,0.074074074074074,0.1724137931034483,0.2333333333333333,2.327586206896552,0.1443188343830283,0.7291804444444444,,,,development
decile,2025-07,responded_strict,0.2,2025,150,405,66,0.074074074074074,0.1629629629629629,0.44,2.2,0.1443188343830283,0.7291804444444444,,,,development
decile,2025-08,responded_strict,0.05,2012,146,101,16,0.0725646123260437,0.1584158415841584,0.1095890410958904,2.183100501831005,0.1145841481751694,0.672613017369217,,,,development
decile,2025-08,responded_strict,0.1,2012,146,202,25,0.0725646123260437,0.1237623762376237,0.1712328767123287,1.7055472670554728,0.1145841481751694,0.672613017369217,,,,development
decile,2025-08,responded_strict,0.2,2012,146,403,54,0.0725646123260437,0.1339950372208436,0.3698630136986301,1.8465617458105303,0.1145841481751694,0.672613017369217,,,,development
decile,2025-09,responded_strict,0.05,2038,155,102,17,0.0760549558390579,0.1666666666666666,0.1096774193548387,2.1913978494623656,0.1473992847134539,0.7167902968838333,,,,development
decile,2025-09,responded_strict,0.1,2038,155,204,37,0.0760549558390579,0.1813725490196078,0.2387096774193548,2.3847564832384567,0.1473992847134539,0.7167902968838333,,,,development
decile,2025-09,responded_strict,0.2,2038,155,408,68,0.0760549558390579,0.1666666666666666,0.4387096774193548,2.1913978494623656,0.1473992847134539,0.7167902968838333,,,,development
delivered_logistic,2025-07,responded_strict,0.05,2025,150,102,31,0.074074074074074,0.3039215686274509,0.2066666666666666,4.102941176470588,0.2630719156360179,0.7967573333333334,0.0810911650537669,0.0617841481823996,0.223135994790909,development
delivered_logistic,2025-07,responded_strict,0.1,2025,150,203,56,0.074074074074074,0.2758620689655172,0.3733333333333333,3.724137931034483,0.2630719156360179,0.7967573333333334,0.0810911650537669,0.0617841481823996,0.223135994790909,development
delivered_logistic,2025-07,responded_strict,0.2,2025,150,405,85,0.074074074074074,0.2098765432098765,0.5666666666666667,2.833333333333333,0.2630719156360179,0.7967573333333334,0.0810911650537669,0.0617841481823996,0.223135994790909,development
delivered_logistic,2025-08,responded_strict,0.05,2012,146,101,27,0.0725646123260437,0.2673267326732673,0.184931506849315,3.683982096839821,0.2044768908467262,0.7580385852090032,0.080309756815016,0.0627358572207238,0.2307763119153627,development
delivered_logistic,2025-08,responded_strict,0.1,2012,146,202,46,0.0725646123260437,0.2277227722772277,0.3150684931506849,3.13820697138207,0.2044768908467262,0.7580385852090032,0.080309756815016,0.0627358572207238,0.2307763119153627,development
