model,target,capacity,months,rows,positives,selected,true_positives_selected,precision,precision_min,precision_max,recall,lift,average_precision,roc_auc,prevalence,mean_prediction,brier,log_loss,stage
core_logistic,responded_strict,0.05,3,6075,451,305,87,0.285154986086844,0.2574257425742574,0.3137254901960784,0.192622379339127,3.836919265605436,0.2223313969919747,0.775780101171678,0.0742312140797252,0.0812275718592453,0.0631857998462922,0.2298127512358447,development
core_logistic,responded_strict,0.1,3,6075,451,609,153,0.2511869775792416,0.2326732673267326,0.2610837438423645,0.339062208474493,3.382353977993496,0.2223313969919747,0.775780101171678,0.0742312140797252,0.0812275718592453,0.0631857998462922,0.2298127512358447,development
core_logistic,responded_strict,0.2,3,6075,451,1216,237,0.1948778767089962,0.1861042183622828,0.2,0.5254264250994255,2.6250035491269146,0.2223313969919747,0.775780101171678,0.0742312140797252,0.0812275718592453,0.0631857998462922,0.2298127512358447,development
decile,responded_strict,0.05,3,6075,451,305,51,0.167184365495373,0.1584158415841584,0.1764705882352941,0.113088820150243,2.252283764156614,0.1354340890905505,0.7061945862324982,0.0742312140797252,,,,development
decile,responded_strict,0.1,3,6075,451,609,97,0.1591829061202266,0.1237623762376237,0.1813725490196078,0.2144252958216723,2.139296652396827,0.1354340890905505,0.7061945862324982,0.0742312140797252,,,,development
decile,responded_strict,0.2,3,6075,451,1216,188,0.1545415556168244,0.1339950372208436,0.1666666666666666,0.4161908970393282,2.079319865090965,0.1354340890905505,0.7061945862324982,0.0742312140797252,,,,development
delivered_logistic,responded_strict,0.05,3,6075,451,305,96,0.3145991069695205,0.2673267326732673,0.3725490196078431,0.2122531546128541,4.22844733187935,0.2430865925758683,0.7797891842294201,0.0742312140797252,0.080936260419937,0.0626302713404167,0.2279250551768465,development
delivered_logistic,responded_strict,0.1,3,6075,451,609,161,0.2642668425057516,0.2277227722772277,0.2892156862745098,0.3563489959247802,3.555021566671004,0.2430865925758683,0.7797891842294201,0.0742312140797252,0.080936260419937,0.0626302713404167,0.2279250551768465,development
delivered_logistic,responded_strict,0.2,3,6075,451,1216,251,0.2063805380008204,0.1960297766749379,0.213235294117647,0.5563509598860903,2.77949498867723,0.2430865925758683,0.7797891842294201,0.0742312140797252,0.080936260419937,0.0626302713404167,0.2279250551768465,development
extended_boosting,responded_strict,0.05,3,6075,451,305,96,0.3146314631463147,0.2772277227722772,0.3431372549019608,0.2125290911769038,4.233258130601082,0.2506258007708798,0.7797427320635567,0.0742312140797252,0.0798111045952056,0.0625888620451441,0.2284008620633373,development
