variant,window,capacity,precision,true_positives_selected,selected,average_precision
add_calls,development,0.05,0.33103604478094867,101,305,0.24434768425740494
add_calls,development,0.1,0.26760749821722246,163,609,0.24434768425740494
add_calls,development,0.2,0.20635618061825103,251,1216,0.24434768425740494
add_calls_samples_recency,development,0.05,0.32776807092473953,100,305,0.2421847528601392
add_calls_samples_recency,development,0.1,0.26598968937751494,162,609,0.2421847528601392
add_calls_samples_recency,development,0.2,0.20472219369014646,249,1216,0.2421847528601392
add_samples,development,0.05,0.3310036886041545,101,305,0.23600091010991628
add_samples,development,0.1,0.2577228455966431,157,609,0.23600091010991628
add_samples,development,0.2,0.20719344687297458,252,1216,0.23600091010991628
delivered,development,0.05,0.3145991069695205,96,305,0.24308659257586832
delivered,development,0.1,0.2642668425057516,161,609,0.24308659257586832
delivered,development,0.2,0.20638053800082048,251,1216,0.24308659257586832
remove_email_digital,development,0.05,0.304795185400893,93,305,0.22299003749406474
remove_email_digital,development,0.1,0.24954486175943005,152,609,0.22299003749406474
remove_email_digital,development,0.2,0.19815795417208026,241,1216,0.22299003749406474
add_calls,later,0.05,0.3178994370025238,97,305,0.2511682488236414
add_calls,later,0.1,0.2812352663837812,171,608,0.2511682488236414
add_calls,later,0.2,0.21005582039685447,255,1214,0.2511682488236414
add_calls_samples_recency,later,0.05,0.3178670808257296,97,305,0.25092953762904807
add_calls_samples_recency,later,0.1,0.2812352663837812,171,608,0.25092953762904807
add_calls_samples_recency,later,0.2,0.21005378315609338,255,1214,0.25092953762904807
add_samples,later,0.05,0.3376367048469553,103,305,0.2505527250244112
add_samples,later,0.1,0.27960948804240027,170,608,0.2505527250244112
add_samples,later,0.2,0.201819255999674,245,1214,0.2505527250244112
delivered,later,0.05,0.3376367048469553,103,305,0.24325723072952407
delivered,later,0.1,0.2697572712936318,164,608,0.24325723072952407
delivered,later,0.2,0.1985250376889541,241,1214,0.24325723072952407
remove_email_digital,later,0.05,0.32136154791949784,98,305,0.2355327348951155
remove_email_digital,later,0.1,0.2598644100863288,158,608,0.2355327348951155
remove_email_digital,later,0.2,0.20100028521370658,244,1214,0.2355327348951155
