feature,dataset,period,rows,missing,zero,one,missing_fraction,zero_fraction,one_fraction
followup_call_logged_flag,all_training,2024-01,2024,0,1688,336,0.0,0.83399209486166,0.16600790513833993
followup_call_logged_flag,all_training,2024-02,2021,0,1705,316,0.0,0.8436417615042059,0.15635823849579417
followup_call_logged_flag,all_training,2024-03,2019,0,1717,302,0.0,0.8504210004952947,0.1495789995047053
followup_call_logged_flag,all_training,2024-04,2022,0,1707,315,0.0,0.844213649851632,0.15578635014836795
followup_call_logged_flag,all_training,2024-05,2036,0,1726,310,0.0,0.8477406679764243,0.15225933202357564
followup_call_logged_flag,all_training,2024-06,2018,0,1706,312,0.0,0.8453914767096135,0.15460852329038652
followup_call_logged_flag,all_training,2024-07,2031,0,1731,300,0.0,0.8522895125553914,0.14771048744460857
followup_call_logged_flag,all_training,2024-08,2038,0,1747,291,0.0,0.8572129538763493,0.14278704612365065
followup_call_logged_flag,all_training,2024-09,2012,0,1729,283,0.0,0.8593439363817097,0.14065606361829025
followup_call_logged_flag,all_training,2024-10,2031,0,1717,314,0.0,0.8453963564746431,0.15460364352535697
followup_call_logged_flag,all_training,2024-11,2030,0,1739,291,0.0,0.8566502463054187,0.14334975369458128
followup_call_logged_flag,all_training,2024-12,2015,0,1707,308,0.0,0.8471464019851117,0.15285359801488835
followup_call_logged_flag,all_training,2025-01,2023,0,1726,297,0.0,0.8531883341571923,0.14681166584280772
followup_call_logged_flag,all_training,2025-02,2023,0,1700,323,0.0,0.8403361344537815,0.15966386554621848
followup_call_logged_flag,all_training,2025-03,2027,0,1688,339,0.0,0.8327577701036014,0.16724222989639861
followup_call_logged_flag,all_training,2025-04,2038,0,1703,335,0.0,0.8356231599607459,0.16437684003925418
followup_call_logged_flag,all_training,2025-05,2028,0,1737,291,0.0,0.856508875739645,0.14349112426035504
followup_call_logged_flag,all_training,2025-06,2014,0,1735,279,0.0,0.8614697120158887,0.1385302879841112
followup_call_logged_flag,all_training,2025-07,2025,0,1704,321,0.0,0.8414814814814815,0.15851851851851853
followup_call_logged_flag,all_training,2025-08,2012,0,1711,301,0.0,0.8503976143141153,0.1496023856858847
followup_call_logged_flag,all_training,2025-09,2038,0,1714,324,0.0,0.8410206084396468,0.1589793915603533
followup_call_logged_flag,all_training,2025-10,2021,0,1694,327,0.0,0.8381989114299851,0.16180108857001485
followup_call_logged_flag,all_training,2025-11,2017,0,1687,330,0.0,0.8363906792265742,0.16360932077342588
followup_call_logged_flag,all_training,2025-12,2022,0,1714,308,0.0,0.847675568743818,0.152324431256182
followup_call_logged_flag,recent_training,2025-07,2025,0,1704,321,0.0,0.8414814814814815,0.15851851851851853
followup_call_logged_flag,recent_training,2025-08,2012,0,1711,301,0.0,0.8503976143141153,0.1496023856858847
followup_call_logged_flag,recent_training,2025-09,2038,0,1714,324,0.0,0.8410206084396468,0.1589793915603533
followup_call_logged_flag,recent_training,2025-10,2021,0,1694,327,0.0,0.8381989114299851,0.16180108857001485
followup_call_logged_flag,recent_training,2025-11,2017,0,1687,330,0.0,0.8363906792265742,0.16360932077342588
followup_call_logged_flag,recent_training,2025-12,2022,0,1714,308,0.0,0.847675568743818,0.152324431256182
followup_call_logged_flag,scoring,2026-01,2125,1833,254,38,0.8625882352941177,0.11952941176470588,0.01788235294117647
followup_call_logged_flag,scoring,2026-02,2111,1870,216,25,0.8858360966366651,0.10232117479867361,0.011842728564661297
followup_call_logged_flag,scoring,2026-03,2135,1888,225,22,0.8843091334894614,0.1053864168618267,0.010304449648711944
followup_call_logged_flag,scoring,2026-04,2119,1832,256,31,0.8645587541293063,0.12081170363378953,0.0146295422369042
followup_call_logged_flag,scoring,2026-05,2112,1861,212,39,0.881155303030303,0.10037878787878787,0.018465909090909092
followup_call_logged_flag,scoring,2026-06,2121,1883,205,33,0.8877887788778878,0.09665252239509665,0.015558698727015558
territory_target_refresh_flag,all_training,2024-01,2024,0,1478,546,0.0,0.7302371541501976,0.26976284584980237
territory_target_refresh_flag,all_training,2024-02,2021,0,1508,513,0.0,0.7461652647204354,0.25383473527956457
territory_target_refresh_flag,all_training,2024-03,2019,0,1481,538,0.0,0.733531451213472,0.266468548786528
territory_target_refresh_flag,all_training,2024-04,2022,0,1476,546,0.0,0.7299703264094956,0.27002967359050445
territory_target_refresh_flag,all_training,2024-05,2036,0,1497,539,0.0,0.7352652259332023,0.26473477406679763
territory_target_refresh_flag,all_training,2024-06,2018,0,1469,549,0.0,0.7279484638255699,0.2720515361744301
territory_target_refresh_flag,all_training,2024-07,2031,0,1502,529,0.0,0.7395371738060069,0.2604628261939931
territory_target_refresh_flag,all_training,2024-08,2038,0,1517,521,0.0,0.7443572129538764,0.25564278704612364
territory_target_refresh_flag,all_training,2024-09,2012,0,1513,499,0.0,0.7519880715705766,0.24801192842942346
territory_target_refresh_flag,all_training,2024-10,2031,0,1494,537,0.0,0.7355982274741507,0.26440177252584934
territory_target_refresh_flag,all_training,2024-11,2030,0,1506,524,0.0,0.741871921182266,0.258128078817734
territory_target_refresh_flag,all_training,2024-12,2015,0,1477,538,0.0,0.7330024813895781,0.2669975186104218
territory_target_refresh_flag,all_training,2025-01,2023,0,1502,521,0.0,0.7424616905585764,0.25753830944142364
territory_target_refresh_flag,all_training,2025-02,2023,0,1474,549,0.0,0.7286208601087494,0.2713791398912506
territory_target_refresh_flag,all_training,2025-03,2027,0,1481,546,0.0,0.7306364084854464,0.2693635915145535
territory_target_refresh_flag,all_training,2025-04,2038,0,1518,520,0.0,0.7448478900883219,0.25515210991167814
territory_target_refresh_flag,all_training,2025-05,2028,0,1473,555,0.0,0.7263313609467456,0.27366863905325445
territory_target_refresh_flag,all_training,2025-06,2014,0,1506,508,0.0,0.7477656405163853,0.2522343594836147
territory_target_refresh_flag,all_training,2025-07,2025,0,1505,520,0.0,0.7432098765432099,0.25679012345679014
territory_target_refresh_flag,all_training,2025-08,2012,0,1486,526,0.0,0.7385685884691849,0.2614314115308151
territory_target_refresh_flag,all_training,2025-09,2038,0,1494,544,0.0,0.7330716388616291,0.26692836113837093
territory_target_refresh_flag,all_training,2025-10,2021,0,1471,550,0.0,0.7278574962889659,0.27214250371103416
territory_target_refresh_flag,all_training,2025-11,2017,0,1487,530,0.0,0.7372335151214675,0.2627664848785325
territory_target_refresh_flag,all_training,2025-12,2022,0,1514,508,0.0,0.7487636003956478,0.2512363996043521
territory_target_refresh_flag,recent_training,2025-07,2025,0,1505,520,0.0,0.7432098765432099,0.25679012345679014
territory_target_refresh_flag,recent_training,2025-08,2012,0,1486,526,0.0,0.7385685884691849,0.2614314115308151
territory_target_refresh_flag,recent_training,2025-09,2038,0,1494,544,0.0,0.7330716388616291,0.26692836113837093
territory_target_refresh_flag,recent_training,2025-10,2021,0,1471,550,0.0,0.7278574962889659,0.27214250371103416
territory_target_refresh_flag,recent_training,2025-11,2017,0,1487,530,0.0,0.7372335151214675,0.2627664848785325
territory_target_refresh_flag,recent_training,2025-12,2022,0,1514,508,0.0,0.7487636003956478,0.2512363996043521
territory_target_refresh_flag,scoring,2026-01,2125,0,1604,521,0.0,0.7548235294117647,0.2451764705882353
territory_target_refresh_flag,scoring,2026-02,2111,0,1600,511,0.0,0.757934628138323,0.24206537186167693
territory_target_refresh_flag,scoring,2026-03,2135,0,1554,581,0.0,0.7278688524590164,0.2721311475409836
territory_target_refresh_flag,scoring,2026-04,2119,0,1579,540,0.0,0.7451628126474752,0.25483718735252475
