feature,category,reference_count,scoring_count,reference_fraction,scoring_fraction,difference_scoring_minus_reference
specialty,Internal Medicine,3726,4025,0.30704573547589614,0.31635620529749275,0.009310469821596612
specialty,Primary Care,3242,3297,0.26716110424392253,0.2591369959915114,-0.008024108252411122
specialty,Cardiology,2008,2125,0.16547177585496498,0.16702035683408,0.001548580979115033
specialty,Endocrinology,2008,2078,0.16547177585496498,0.16332625952998506,-0.002145516324979918
specialty,Nephrology,1151,1198,0.09484960857025133,0.09416018234693076,-0.0006894262233205772
formulary_status,Preferred,4950,5211,0.4079110012360939,0.40957321386465456,0.0016622126285606442
formulary_status,Non-preferred,3769,3871,0.31058920477956325,0.30425214179045823,-0.0063370629891050245
formulary_status,Restricted,2328,2482,0.19184177997527813,0.19507977678220545,0.0032379968069273235
formulary_status,Not covered,1088,1159,0.08965801400906469,0.09109486756268176,0.0014368535536170707
region,Central,1982,2009,0.16332921302018955,0.15790301029631376,-0.005426202723875784
region,East,2426,2662,0.19991759373712403,0.2092273834787393,0.009309789741615254
region,North,2911,3089,0.23988463123197362,0.2427886504755168,0.0029040192435431655
region,South,2138,2302,0.17618459002884218,0.1809321700856716,0.004747580056829431
region,West,2678,2661,0.22068397198187062,0.20914878566375855,-0.011535186318112067
institution_type,Private Clinic,4060,4179,0.334569427276473,0.3284602688045272,-0.006109158471945764
institution_type,Hospital,3586,3782,0.29550885867325916,0.29725693625717203,0.001748077583912877
institution_type,Group Practice,2909,3105,0.23971981870622167,0.24404621551520866,0.004326396808986999
institution_type,Academic,1580,1657,0.13020189534404614,0.13023657942309202,3.4684079045887994e-05
