hcp_id,period_lag2,period_lag1,period,speaker_program_attended_12m_lag2,speaker_program_attended_12m_lag1,speaker_program_attended_12m,csv_line_lag2,csv_line_lag1,csv_line
100001,2026-04,2026-05,2026-06,0.0,1.0,0,9332.0,11134.0,9052
100004,2026-01,2026-02,2026-03,0.0,1.0,0,1502.0,6190.0,12182
100005,2026-01,2026-02,2026-03,0.0,1.0,0,8756.0,1268.0,8117
100005,2026-03,2026-04,2026-05,0.0,1.0,0,8117.0,4268.0,11794
100009,2026-02,2026-03,2026-04,0.0,1.0,0,696.0,6589.0,1702
100013,2026-02,2026-03,2026-04,0.0,1.0,0,3043.0,11972.0,2013
100015,2026-04,2026-05,2026-06,0.0,1.0,0,4879.0,10805.0,5086
100018,2026-03,2026-04,2026-05,0.0,1.0,0,11939.0,10064.0,8853
100030,2026-04,2026-05,2026-06,0.0,1.0,0,4869.0,12386.0,7533
100036,2026-04,2026-05,2026-06,0.0,1.0,0,11373.0,6191.0,9183
100037,2026-02,2026-03,2026-04,0.0,1.0,0,10058.0,3425.0,8601
100043,2026-02,2026-03,2026-04,0.0,1.0,0,8912.0,4282.0,124
100046,2026-04,2026-05,2026-06,0.0,1.0,0,5573.0,8609.0,6474
100051,2026-04,2026-05,2026-06,0.0,1.0,0,8431.0,5760.0,6094
100052,2026-04,2026-05,2026-06,0.0,1.0,0,4658.0,4710.0,11954
100054,2026-03,2026-04,2026-05,0.0,1.0,0,3972.0,6306.0,12683
100058,2026-03,2026-04,2026-05,0.0,1.0,0,5053.0,8960.0,3297
100073,2026-02,2026-03,2026-04,0.0,1.0,0,11518.0,6369.0,8174
100074,2026-03,2026-04,2026-05,0.0,1.0,0,1551.0,8278.0,11216
100077,2026-04,2026-05,2026-06,0.0,1.0,0,2662.0,7938.0,11593
100078,2026-04,2026-05,2026-06,0.0,1.0,0,4863.0,12666.0,5234
100079,2026-03,2026-04,2026-05,0.0,1.0,0,4520.0,9574.0,335
100081,2026-04,2026-05,2026-06,0.0,1.0,0,6420.0,4842.0,7003
100089,2026-03,2026-04,2026-05,0.0,1.0,0,8451.0,12295.0,4406
100090,2026-02,2026-03,2026-04,0.0,1.0,0,3860.0,8734.0,5565
100092,2026-03,2026-04,2026-05,0.0,1.0,0,9898.0,94.0,3051
100097,2026-02,2026-03,2026-04,0.0,1.0,0,2751.0,6517.0,11480
100100,2026-02,2026-03,2026-04,0.0,1.0,0,633.0,776.0,5163
100104,2026-03,2026-04,2026-05,0.0,1.0,0,5329.0,3686.0,6286
100108,2026-03,2026-04,2026-05,0.0,1.0,0,1132.0,9244.0,6610
100111,2026-01,2026-02,2026-03,0.0,1.0,0,4609.0,9040.0,7837
100123,2026-03,2026-04,2026-05,0.0,1.0,0,2899.0,10629.0,404
100125,2026-02,2026-03,2026-04,0.0,1.0,0,9734.0,7035.0,10779
100126,2026-02,2026-03,2026-04,0.0,1.0,0,12223.0,1357.0,6299
100129,2026-04,2026-05,2026-06,0.0,1.0,0,7423.0,12609.0,182
100131,2026-03,2026-04,2026-05,0.0,1.0,0,9646.0,2598.0,8390
100134,2026-01,2026-02,2026-03,0.0,1.0,0,3361.0,3156.0,6540
100135,2026-03,2026-04,2026-05,0.0,1.0,0,5532.0,10972.0,3168
100136,2026-02,2026-03,2026-04,0.0,1.0,0,2702.0,11595.0,8783
100138,2026-04,2026-05,2026-06,0.0,1.0,0,3910.0,293.0,2509
100140,2026-04,2026-05,2026-06,0.0,1.0,0,6206.0,7919.0,9378
100144,2026-01,2026-02,2026-03,0.0,1.0,0,8118.0,9241.0,640
100144,2026-03,2026-04,2026-05,0.0,1.0,0,640.0,12490.0,7809
100149,2026-01,2026-02,2026-03,0.0,1.0,0,10608.0,4513.0,11909
100154,2026-02,2026-03,2026-04,0.0,1.0,0,8996.0,7456.0,8602
100156,2026-03,2026-04,2026-05,0.0,1.0,0,1238.0,4702.0,184
100157,2026-02,2026-03,2026-04,0.0,1.0,0,7187.0,11560.0,3984
100160,2026-04,2026-05,2026-06,0.0,1.0,0,669.0,9744.0,2289
100161,2026-01,2026-02,2026-03,0.0,1.0,0,11930.0,12083.0,2290
100166,2026-03,2026-04,2026-05,0.0,1.0,0,9507.0,6592.0,654
100175,2026-02,2026-03,2026-04,0.0,1.0,0,12711.0,4669.0,4048
100178,2026-03,2026-04,2026-05,0.0,1.0,0,3678.0,3824.0,55
100180,2026-02,2026-03,2026-04,0.0,1.0,0,11558.0,1484.0,6529
100180,2026-04,2026-05,2026-06,0.0,1.0,0,6529.0,12596.0,7773
100186,2026-02,2026-03,2026-04,0.0,1.0,0,12639.0,12311.0,10574
100186,2026-04,2026-05,2026-06,0.0,1.0,0,10574.0,3876.0,9598
100188,2026-02,2026-03,2026-04,0.0,1.0,0,8257.0,8453.0,8854
100189,2026-04,2026-05,2026-06,0.0,1.0,0,8969.0,7079.0,2342
100191,2026-01,2026-02,2026-03,0.0,1.0,0,6146.0,8105.0,4958
100194,2026-03,2026-04,2026-05,0.0,1.0,0,7870.0,6015.0,6049
