hcp_id,period_lag2,period_lag1,period,speaker_program_attended_12m_lag2,speaker_program_attended_12m_lag1,speaker_program_attended_12m,csv_line_lag2,csv_line_lag1,csv_line
100000,2024-02,2024-03,2024-04,0.0,1.0,0,11003.0,46583.0,10028
100000,2025-02,2025-03,2025-04,0.0,1.0,0,8261.0,1870.0,40500
100001,2024-03,2024-04,2024-05,0.0,1.0,0,42301.0,12093.0,35217
100002,2024-06,2024-07,2024-08,0.0,1.0,0,7029.0,45869.0,2052
100002,2025-03,2025-04,2025-05,0.0,1.0,0,36937.0,10412.0,26639
100002,2025-07,2025-08,2025-09,0.0,1.0,0,27413.0,30326.0,32748
100003,2024-06,2024-07,2024-08,0.0,1.0,0,2717.0,23474.0,22006
100003,2024-09,2024-10,2024-11,0.0,1.0,0,16079.0,602.0,47655
100003,2024-11,2024-12,2025-01,0.0,1.0,0,47655.0,46477.0,31851
100004,2025-03,2025-04,2025-05,0.0,1.0,0,48289.0,21454.0,9392
100004,2025-05,2025-06,2025-07,0.0,1.0,0,9392.0,23731.0,14279
100004,2025-09,2025-10,2025-11,0.0,1.0,0,45343.0,18599.0,20505
100005,2024-03,2024-04,2024-05,0.0,1.0,0,9914.0,2314.0,15016
100005,2024-05,2024-06,2024-07,0.0,1.0,0,15016.0,14190.0,38437
100005,2025-05,2025-06,2025-07,0.0,1.0,0,20123.0,24429.0,36846
100006,2024-03,2024-04,2024-05,0.0,1.0,0,48433.0,31241.0,608
100006,2025-09,2025-10,2025-11,0.0,1.0,0,41496.0,30018.0,37721
100007,2024-02,2024-03,2024-04,0.0,1.0,0,14948.0,6237.0,18011
100007,2024-08,2024-09,2024-10,0.0,1.0,0,37751.0,27637.0,24368
100008,2024-12,2025-01,2025-02,0.0,1.0,0,47050.0,38306.0,34141
100009,2024-03,2024-04,2024-05,0.0,1.0,0,7215.0,48368.0,443
100009,2025-01,2025-02,2025-03,0.0,1.0,0,21563.0,42490.0,15200
100009,2025-10,2025-11,2025-12,0.0,1.0,0,21236.0,28259.0,7073
100010,2024-04,2024-05,2024-06,0.0,1.0,0,23493.0,12414.0,4597
100010,2025-05,2025-06,2025-07,0.0,1.0,0,21194.0,23566.0,17217
100011,2024-01,2024-02,2024-03,0.0,1.0,0,23660.0,9797.0,7663
100012,2024-07,2024-08,2024-09,0.0,1.0,0,20073.0,5496.0,43296
100013,2024-08,2024-09,2024-10,0.0,1.0,0,17229.0,6716.0,19953
100013,2025-09,2025-10,2025-11,0.0,1.0,0,39186.0,10147.0,11968
100014,2024-11,2024-12,2025-01,0.0,1.0,0,36741.0,25327.0,10682
100014,2025-03,2025-04,2025-05,0.0,1.0,0,23635.0,37689.0,13576
100014,2025-06,2025-07,2025-08,0.0,1.0,0,42269.0,5662.0,47729
100015,2024-04,2024-05,2024-06,0.0,1.0,0,821.0,2812.0,32722
100015,2024-06,2024-07,2024-08,0.0,1.0,0,32722.0,45461.0,37340
100016,2024-10,2024-11,2024-12,0.0,1.0,0,27079.0,26182.0,47749
100016,2025-07,2025-08,2025-09,0.0,1.0,0,7492.0,37777.0,32419
100017,2024-01,2024-02,2024-03,0.0,1.0,0,33612.0,9878.0,24738
100017,2024-06,2024-07,2024-08,0.0,1.0,0,34554.0,11852.0,48303
100017,2025-01,2025-02,2025-03,0.0,1.0,0,3376.0,2467.0,40978
100018,2024-08,2024-09,2024-10,0.0,1.0,0,21069.0,32598.0,16248
100019,2024-11,2024-12,2025-01,0.0,1.0,0,22659.0,19932.0,45766
100019,2025-08,2025-09,2025-10,0.0,1.0,0,48576.0,36386.0,48362
100020,2024-07,2024-08,2024-09,0.0,1.0,0,39431.0,14052.0,26044
100021,2024-02,2024-03,2024-04,0.0,1.0,0,18860.0,22620.0,3813
100021,2025-07,2025-08,2025-09,0.0,1.0,0,8640.0,10452.0,28998
100022,2024-03,2024-04,2024-05,0.0,1.0,0,23578.0,26461.0,25048
100022,2024-07,2024-08,2024-09,0.0,1.0,0,35310.0,24641.0,26357
100022,2024-11,2024-12,2025-01,0.0,1.0,0,26746.0,39919.0,4027
100023,2025-02,2025-03,2025-04,0.0,1.0,0,28767.0,16841.0,6281
100024,2025-09,2025-10,2025-11,0.0,1.0,0,6139.0,23924.0,2912
100025,2024-08,2024-09,2024-10,0.0,1.0,0,9082.0,3522.0,36277
100025,2025-02,2025-03,2025-04,0.0,1.0,0,33009.0,13531.0,21059
100026,2025-05,2025-06,2025-07,0.0,1.0,0,25730.0,16468.0,26687
