period,capacity,selected,boundary_score,strictly_above_rows,tied_rows,tied_positives,slots_from_boundary_ties,expected_positives_random_ties,expected_precision_random_ties,actual_precision_fixed_seed,horizon
2025-10,0.05,102,1.0,0,213,44,102,21.070422535211268,0.20657276995305165,0.24509803921568626,later
2025-10,0.1,203,1.0,0,213,44,203,41.93427230046949,0.20657276995305165,0.20689655172413793,later
2025-10,0.2,405,0.9,213,209,23,192,65.12918660287082,0.16081280642684154,0.15555555555555556,later
2025-11,0.05,101,1.0,0,216,35,101,16.36574074074074,0.16203703703703703,0.09900990099009901,later
2025-11,0.1,202,1.0,0,216,35,202,32.73148148148148,0.16203703703703703,0.1485148514851485,later
2025-11,0.2,404,0.9,216,210,30,188,61.857142857142854,0.1531117397454031,0.14603960396039603,later
2025-12,0.05,102,1.0,0,213,39,102,18.676056338028168,0.18309859154929575,0.19607843137254902,later
2025-12,0.1,203,1.0,0,213,39,203,37.16901408450704,0.18309859154929575,0.18226600985221675,later
2025-12,0.2,405,0.9,213,214,31,192,66.81308411214954,0.16497057805469023,0.16296296296296298,later
2025-07,0.05,102,1.0,0,207,37,102,18.231884057971012,0.178743961352657,0.17647058823529413,six_month
2025-07,0.1,203,1.0,0,207,37,203,36.28502415458937,0.178743961352657,0.1724137931034483,six_month
2025-07,0.2,405,0.9,207,217,30,198,64.37327188940093,0.15894635034419982,0.16296296296296298,six_month
2025-08,0.05,101,1.0,0,209,25,101,12.08133971291866,0.11961722488038277,0.15841584158415842,six_month
2025-08,0.1,202,1.0,0,209,25,202,24.16267942583732,0.11961722488038277,0.12376237623762376,six_month
2025-08,0.2,403,0.9,209,213,30,194,52.32394366197183,0.12983608849124523,0.13399503722084366,six_month
2025-09,0.05,102,1.0,0,214,41,102,19.542056074766354,0.19158878504672897,0.16666666666666666,six_month
2025-09,0.1,204,1.0,0,214,41,204,39.08411214953271,0.19158878504672897,0.18137254901960784,six_month
2025-09,0.2,408,0.9,214,216,28,194,66.14814814814815,0.16212781408859842,0.16666666666666666,six_month
2025-10,0.05,102,1.0,0,213,44,102,21.070422535211268,0.20657276995305165,0.24509803921568626,six_month
2025-10,0.1,203,1.0,0,213,44,203,41.93427230046949,0.20657276995305165,0.20689655172413793,six_month
2025-10,0.2,405,0.9,213,209,23,192,65.12918660287082,0.16081280642684154,0.15555555555555556,six_month
2025-11,0.05,101,1.0,0,216,35,101,16.36574074074074,0.16203703703703703,0.09900990099009901,six_month
2025-11,0.1,202,1.0,0,216,35,202,32.73148148148148,0.16203703703703703,0.1485148514851485,six_month
2025-11,0.2,404,0.9,216,210,30,188,61.857142857142854,0.1531117397454031,0.14603960396039603,six_month
2025-12,0.05,102,1.0,0,213,39,102,18.676056338028168,0.18309859154929575,0.19607843137254902,six_month
2025-12,0.1,203,1.0,0,213,39,203,37.16901408450704,0.18309859154929575,0.18226600985221675,six_month
2025-12,0.2,405,0.9,213,214,31,192,66.81308411214954,0.16497057805469023,0.16296296296296298,six_month
