hcp_id,period,responded_strict,model,capacity,rank,score,eligible_monthly_rows
101077,2025-10,0,decile,0.05,1,1.0,2021
100610,2025-10,0,decile,0.05,2,1.0,2021
101620,2025-10,0,decile,0.05,3,1.0,2021
102079,2025-10,1,decile,0.05,4,1.0,2021
101084,2025-10,0,decile,0.05,5,1.0,2021
101684,2025-10,1,decile,0.05,6,1.0,2021
101449,2025-10,1,decile,0.05,7,1.0,2021
101726,2025-10,0,decile,0.05,8,1.0,2021
102078,2025-10,0,decile,0.05,9,1.0,2021
100422,2025-10,0,decile,0.05,10,1.0,2021
101259,2025-10,1,decile,0.05,11,1.0,2021
101527,2025-10,0,decile,0.05,12,1.0,2021
101246,2025-10,0,decile,0.05,13,1.0,2021
100215,2025-10,0,decile,0.05,14,1.0,2021
100665,2025-10,0,decile,0.05,15,1.0,2021
102037,2025-10,1,decile,0.05,16,1.0,2021
102096,2025-10,0,decile,0.05,17,1.0,2021
100508,2025-10,0,decile,0.05,18,1.0,2021
101282,2025-10,0,decile,0.05,19,1.0,2021
101922,2025-10,0,decile,0.05,20,1.0,2021
100300,2025-10,0,decile,0.05,21,1.0,2021
100193,2025-10,1,decile,0.05,22,1.0,2021
101097,2025-10,1,decile,0.05,23,1.0,2021
101772,2025-10,0,decile,0.05,24,1.0,2021
100530,2025-10,0,decile,0.05,25,1.0,2021
101412,2025-10,0,decile,0.05,26,1.0,2021
101909,2025-10,1,decile,0.05,27,1.0,2021
100332,2025-10,0,decile,0.05,28,1.0,2021
101305,2025-10,0,decile,0.05,29,1.0,2021
100704,2025-10,1,decile,0.05,30,1.0,2021
101754,2025-10,0,decile,0.05,31,1.0,2021
100453,2025-10,1,decile,0.05,32,1.0,2021
101798,2025-10,0,decile,0.05,33,1.0,2021
100698,2025-10,0,decile,0.05,34,1.0,2021
100817,2025-10,0,decile,0.05,35,1.0,2021
101613,2025-10,0,decile,0.05,36,1.0,2021
102019,2025-10,0,decile,0.05,37,1.0,2021
101578,2025-10,0,decile,0.05,38,1.0,2021
100878,2025-10,0,decile,0.05,39,1.0,2021
100487,2025-10,0,decile,0.05,40,1.0,2021
101406,2025-10,0,decile,0.05,41,1.0,2021
100672,2025-10,0,decile,0.05,42,1.0,2021
101448,2025-10,0,decile,0.05,43,1.0,2021
101350,2025-10,0,decile,0.05,44,1.0,2021
101378,2025-10,1,decile,0.05,45,1.0,2021
101738,2025-10,0,decile,0.05,46,1.0,2021
101660,2025-10,0,decile,0.05,47,1.0,2021
101690,2025-10,1,decile,0.05,48,1.0,2021
100017,2025-10,0,decile,0.05,49,1.0,2021
101471,2025-10,1,decile,0.05,50,1.0,2021
100115,2025-10,0,decile,0.05,51,1.0,2021
100803,2025-10,1,decile,0.05,52,1.0,2021
101543,2025-10,0,decile,0.05,53,1.0,2021
100892,2025-10,1,decile,0.05,54,1.0,2021
100686,2025-10,0,decile,0.05,55,1.0,2021
100823,2025-10,1,decile,0.05,56,1.0,2021
101124,2025-10,0,decile,0.05,57,1.0,2021
100608,2025-10,0,decile,0.05,58,1.0,2021
100267,2025-10,0,decile,0.05,59,1.0,2021
101916,2025-10,0,decile,0.05,60,1.0,2021
100609,2025-10,0,decile,0.05,61,1.0,2021
100579,2025-10,0,decile,0.05,62,1.0,2021
101883,2025-10,0,decile,0.05,63,1.0,2021
