period,capacity,left_model,right_model,left_selected,right_selected,shared_selected,left_only_selected,right_only_selected,shared_positives,left_only_positives,right_only_positives,jaccard,horizon
2025-10,0.05,core_logistic,decile,102,102,33,69,69,14,17,11,0.19298245614035087,later
2025-10,0.05,core_logistic,extended_logistic,102,102,80,22,22,28,3,8,0.6451612903225806,later
2025-10,0.05,decile,extended_logistic,102,102,30,72,72,15,10,21,0.1724137931034483,later
2025-10,0.1,core_logistic,decile,203,203,95,108,108,32,22,10,0.3054662379421222,later
2025-10,0.1,core_logistic,extended_logistic,203,203,166,37,37,47,7,9,0.6916666666666667,later
2025-10,0.1,decile,extended_logistic,203,203,94,109,109,34,8,22,0.30128205128205127,later
2025-10,0.2,core_logistic,decile,405,405,251,154,154,56,28,7,0.4490161001788909,later
2025-10,0.2,core_logistic,extended_logistic,405,405,353,52,52,78,6,3,0.7724288840262582,later
2025-10,0.2,decile,extended_logistic,405,405,242,163,163,54,9,27,0.426056338028169,later
2025-11,0.05,core_logistic,decile,101,101,29,72,72,6,28,4,0.1676300578034682,later
2025-11,0.05,core_logistic,extended_logistic,101,101,79,22,22,26,8,6,0.6422764227642277,later
2025-11,0.05,decile,extended_logistic,101,101,34,67,67,7,3,25,0.20238095238095238,later
2025-11,0.1,core_logistic,decile,202,202,102,100,100,25,32,5,0.33774834437086093,later
2025-11,0.1,core_logistic,extended_logistic,202,202,169,33,33,50,7,7,0.7191489361702128,later
2025-11,0.1,decile,extended_logistic,202,202,93,109,109,22,8,35,0.2990353697749196,later
2025-11,0.2,core_logistic,decile,404,404,260,144,144,51,34,8,0.4744525547445255,later
2025-11,0.2,core_logistic,extended_logistic,404,404,348,56,56,77,8,7,0.7565217391304347,later
2025-11,0.2,decile,extended_logistic,404,404,244,160,160,50,9,34,0.4326241134751773,later
2025-12,0.05,core_logistic,decile,102,102,32,70,70,14,16,6,0.18604651162790697,later
2025-12,0.05,core_logistic,extended_logistic,102,102,81,21,21,29,1,6,0.6585365853658537,later
