cohort,period,profile_seen,scoring_rows,scoring_hcps,reference
known_hcp,2026-01,True,1740,1740,all_supplied_training
known_hcp,2026-02,True,1720,1720,all_supplied_training
known_hcp,2026-03,True,1745,1745,all_supplied_training
known_hcp,2026-04,True,1731,1731,all_supplied_training
known_hcp,2026-05,True,1734,1734,all_supplied_training
known_hcp,2026-06,True,1735,1735,all_supplied_training
new_hcp,2026-01,True,385,385,all_supplied_training
new_hcp,2026-02,True,391,391,all_supplied_training
new_hcp,2026-03,True,390,390,all_supplied_training
new_hcp,2026-04,True,388,388,all_supplied_training
new_hcp,2026-05,True,378,378,all_supplied_training
new_hcp,2026-06,True,386,386,all_supplied_training
known_hcp,2026-01,True,1740,1740,final_fit_through_2025-11
known_hcp,2026-02,True,1720,1720,final_fit_through_2025-11
known_hcp,2026-03,True,1745,1745,final_fit_through_2025-11
known_hcp,2026-04,True,1731,1731,final_fit_through_2025-11
known_hcp,2026-05,True,1734,1734,final_fit_through_2025-11
known_hcp,2026-06,True,1735,1735,final_fit_through_2025-11
new_hcp,2026-01,True,385,385,final_fit_through_2025-11
new_hcp,2026-02,True,391,391,final_fit_through_2025-11
new_hcp,2026-03,True,390,390,final_fit_through_2025-11
new_hcp,2026-04,True,388,388,final_fit_through_2025-11
new_hcp,2026-05,True,378,378,final_fit_through_2025-11
new_hcp,2026-06,True,386,386,final_fit_through_2025-11
