cohort,decile,specialty,formulary_status,scoring_rows,scoring_hcps,historical_rows,historical_hcps,historical_strict_positives,profile_seen,reference
known_hcp,1,Cardiology,Non-preferred,50,25,257,31,7,True,all_supplied_training
known_hcp,1,Cardiology,Not covered,20,17,88,30,3,True,all_supplied_training
known_hcp,1,Cardiology,Preferred,63,25,196,31,6,True,all_supplied_training
known_hcp,1,Cardiology,Restricted,24,15,177,31,0,True,all_supplied_training
known_hcp,1,Endocrinology,Non-preferred,43,22,231,29,7,True,all_supplied_training
known_hcp,1,Endocrinology,Not covered,9,7,77,28,0,True,all_supplied_training
known_hcp,1,Endocrinology,Preferred,68,25,186,29,4,True,all_supplied_training
known_hcp,1,Endocrinology,Restricted,37,22,178,29,3,True,all_supplied_training
known_hcp,1,Internal Medicine,Non-preferred,98,48,500,62,7,True,all_supplied_training
known_hcp,1,Internal Medicine,Not covered,33,23,201,59,0,True,all_supplied_training
known_hcp,1,Internal Medicine,Preferred,118,51,374,62,6,True,all_supplied_training
known_hcp,1,Internal Medicine,Restricted,62,38,358,62,3,True,all_supplied_training
known_hcp,1,Nephrology,Non-preferred,40,19,227,24,1,True,all_supplied_training
known_hcp,1,Nephrology,Not covered,15,11,57,22,0,True,all_supplied_training
known_hcp,1,Nephrology,Preferred,44,20,136,24,0,True,all_supplied_training
known_hcp,1,Nephrology,Restricted,20,14,139,24,2,True,all_supplied_training
known_hcp,1,Primary Care,Non-preferred,88,44,482,56,2,True,all_supplied_training
known_hcp,1,Primary Care,Not covered,27,20,154,53,0,True,all_supplied_training
known_hcp,1,Primary Care,Preferred,117,46,364,56,9,True,all_supplied_training
known_hcp,1,Primary Care,Restricted,60,37,305,56,2,True,all_supplied_training
known_hcp,2,Cardiology,Non-preferred,50,24,238,30,4,True,all_supplied_training
known_hcp,2,Cardiology,Not covered,9,7,100,29,0,True,all_supplied_training
known_hcp,2,Cardiology,Preferred,64,24,186,30,8,True,all_supplied_training
known_hcp,2,Cardiology,Restricted,29,16,175,30,3,True,all_supplied_training
known_hcp,2,Endocrinology,Non-preferred,42,18,221,26,3,True,all_supplied_training
known_hcp,2,Endocrinology,Not covered,12,11,66,25,1,True,all_supplied_training
known_hcp,2,Endocrinology,Preferred,56,21,177,26,7,True,all_supplied_training
known_hcp,2,Endocrinology,Restricted,24,15,134,25,3,True,all_supplied_training
known_hcp,2,Internal Medicine,Non-preferred,92,46,556,64,9,True,all_supplied_training
known_hcp,2,Internal Medicine,Not covered,32,26,165,56,0,True,all_supplied_training
known_hcp,2,Internal Medicine,Preferred,118,51,401,64,13,True,all_supplied_training
known_hcp,2,Internal Medicine,Restricted,65,39,363,64,5,True,all_supplied_training
known_hcp,2,Nephrology,Non-preferred,27,13,159,19,3,True,all_supplied_training
known_hcp,2,Nephrology,Not covered,10,9,57,18,1,True,all_supplied_training
known_hcp,2,Nephrology,Preferred,34,15,123,19,5,True,all_supplied_training
known_hcp,2,Nephrology,Restricted,17,12,108,19,0,True,all_supplied_training
known_hcp,2,Primary Care,Non-preferred,87,43,456,55,5,True,all_supplied_training
known_hcp,2,Primary Care,Not covered,15,15,166,55,0,True,all_supplied_training
known_hcp,2,Primary Care,Preferred,130,47,332,55,5,True,all_supplied_training
known_hcp,2,Primary Care,Restricted,51,35,320,55,5,True,all_supplied_training
known_hcp,3,Cardiology,Non-preferred,50,25,224,30,10,True,all_supplied_training
known_hcp,3,Cardiology,Not covered,9,9,84,29,1,True,all_supplied_training
known_hcp,3,Cardiology,Preferred,63,25,189,30,11,True,all_supplied_training
known_hcp,3,Cardiology,Restricted,30,21,192,30,3,True,all_supplied_training
known_hcp,3,Endocrinology,Non-preferred,46,27,290,35,14,True,all_supplied_training
known_hcp,3,Endocrinology,Not covered,19,15,98,33,1,True,all_supplied_training
known_hcp,3,Endocrinology,Preferred,69,28,235,35,18,True,all_supplied_training
known_hcp,3,Endocrinology,Restricted,45,25,190,35,2,True,all_supplied_training
known_hcp,3,Internal Medicine,Non-preferred,113,52,534,65,10,True,all_supplied_training
known_hcp,3,Internal Medicine,Not covered,27,23,200,62,1,True,all_supplied_training
known_hcp,3,Internal Medicine,Preferred,128,57,441,65,26,True,all_supplied_training
known_hcp,3,Internal Medicine,Restricted,76,47,330,65,5,True,all_supplied_training
known_hcp,3,Nephrology,Non-preferred,38,18,202,25,5,True,all_supplied_training
known_hcp,3,Nephrology,Not covered,11,9,74,25,1,True,all_supplied_training
known_hcp,3,Nephrology,Preferred,51,20,158,25,9,True,all_supplied_training
known_hcp,3,Nephrology,Restricted,20,13,140,25,0,True,all_supplied_training
known_hcp,3,Primary Care,Non-preferred,129,63,631,75,20,True,all_supplied_training
known_hcp,3,Primary Care,Not covered,31,28,233,72,0,True,all_supplied_training
known_hcp,3,Primary Care,Preferred,159,66,486,75,18,True,all_supplied_training
known_hcp,3,Primary Care,Restricted,72,49,392,75,5,True,all_supplied_training
known_hcp,4,Cardiology,Non-preferred,54,31,325,39,10,True,all_supplied_training
known_hcp,4,Cardiology,Not covered,24,13,104,37,2,True,all_supplied_training
known_hcp,4,Cardiology,Preferred,77,31,252,39,14,True,all_supplied_training
known_hcp,4,Cardiology,Restricted,48,27,226,39,7,True,all_supplied_training
known_hcp,4,Endocrinology,Non-preferred,48,25,249,31,9,True,all_supplied_training
known_hcp,4,Endocrinology,Not covered,10,8,93,30,2,True,all_supplied_training
known_hcp,4,Endocrinology,Preferred,66,25,201,30,19,True,all_supplied_training
known_hcp,4,Endocrinology,Restricted,39,21,177,31,5,True,all_supplied_training
known_hcp,4,Internal Medicine,Non-preferred,111,55,535,66,20,True,all_supplied_training
known_hcp,4,Internal Medicine,Not covered,32,26,214,62,2,True,all_supplied_training
known_hcp,4,Internal Medicine,Preferred,142,57,422,66,22,True,all_supplied_training
known_hcp,4,Internal Medicine,Restricted,53,35,362,66,8,True,all_supplied_training
known_hcp,4,Nephrology,Non-preferred,21,13,167,19,3,True,all_supplied_training
known_hcp,4,Nephrology,Not covered,10,9,64,19,0,True,all_supplied_training
known_hcp,4,Nephrology,Preferred,50,17,98,19,8,True,all_supplied_training
known_hcp,4,Nephrology,Restricted,17,13,115,19,3,True,all_supplied_training
known_hcp,4,Primary Care,Non-preferred,73,34,400,44,11,True,all_supplied_training
known_hcp,4,Primary Care,Not covered,26,20,147,44,1,True,all_supplied_training
known_hcp,4,Primary Care,Preferred,86,35,250,44,9,True,all_supplied_training
known_hcp,4,Primary Care,Restricted,44,25,226,44,5,True,all_supplied_training
known_hcp,5,Cardiology,Non-preferred,39,22,288,31,15,True,all_supplied_training
known_hcp,5,Cardiology,Not covered,16,11,79,28,2,True,all_supplied_training
known_hcp,5,Cardiology,Preferred,66,24,198,31,23,True,all_supplied_training
known_hcp,5,Cardiology,Restricted,25,16,152,31,7,True,all_supplied_training
known_hcp,5,Endocrinology,Non-preferred,59,30,302,39,16,True,all_supplied_training
known_hcp,5,Endocrinology,Not covered,19,15,120,37,2,True,all_supplied_training
known_hcp,5,Endocrinology,Preferred,73,31,267,39,30,True,all_supplied_training
known_hcp,5,Endocrinology,Restricted,30,21,221,39,10,True,all_supplied_training
known_hcp,5,Internal Medicine,Non-preferred,83,42,496,58,30,True,all_supplied_training
known_hcp,5,Internal Medicine,Not covered,30,22,179,54,5,True,all_supplied_training
known_hcp,5,Internal Medicine,Preferred,110,43,350,58,30,True,all_supplied_training
known_hcp,5,Internal Medicine,Restricted,60,34,316,58,9,True,all_supplied_training
known_hcp,5,Nephrology,Non-preferred,31,14,159,19,6,True,all_supplied_training
known_hcp,5,Nephrology,Not covered,6,4,55,19,0,True,all_supplied_training
known_hcp,5,Nephrology,Preferred,47,17,124,19,11,True,all_supplied_training
known_hcp,5,Nephrology,Restricted,17,14,99,19,4,True,all_supplied_training
known_hcp,5,Primary Care,Non-preferred,95,49,528,62,17,True,all_supplied_training
known_hcp,5,Primary Care,Not covered,31,25,177,60,2,True,all_supplied_training
known_hcp,5,Primary Care,Preferred,130,52,384,62,22,True,all_supplied_training
known_hcp,5,Primary Care,Restricted,62,39,349,62,2,True,all_supplied_training
known_hcp,6,Cardiology,Non-preferred,57,29,299,38,16,True,all_supplied_training
known_hcp,6,Cardiology,Not covered,17,12,124,38,7,True,all_supplied_training
known_hcp,6,Cardiology,Preferred,72,29,258,38,32,True,all_supplied_training
known_hcp,6,Cardiology,Restricted,39,22,200,37,7,True,all_supplied_training
known_hcp,6,Endocrinology,Non-preferred,66,32,356,43,28,True,all_supplied_training
known_hcp,6,Endocrinology,Not covered,21,19,127,42,1,True,all_supplied_training
known_hcp,6,Endocrinology,Preferred,76,35,253,43,35,True,all_supplied_training
known_hcp,6,Endocrinology,Restricted,40,26,262,43,16,True,all_supplied_training
known_hcp,6,Internal Medicine,Non-preferred,104,51,556,67,30,True,all_supplied_training
known_hcp,6,Internal Medicine,Not covered,33,28,188,64,1,True,all_supplied_training
known_hcp,6,Internal Medicine,Preferred,141,58,434,67,45,True,all_supplied_training
known_hcp,6,Internal Medicine,Restricted,78,51,369,67,4,True,all_supplied_training
known_hcp,6,Nephrology,Non-preferred,25,10,151,18,8,True,all_supplied_training
known_hcp,6,Nephrology,Not covered,9,7,46,16,0,True,all_supplied_training
known_hcp,6,Nephrology,Preferred,26,11,115,18,16,True,all_supplied_training
known_hcp,6,Nephrology,Restricted,10,7,98,18,3,True,all_supplied_training
known_hcp,6,Primary Care,Non-preferred,65,33,369,43,14,True,all_supplied_training
known_hcp,6,Primary Care,Not covered,21,18,138,41,5,True,all_supplied_training
known_hcp,6,Primary Care,Preferred,99,35,263,43,24,True,all_supplied_training
known_hcp,6,Primary Care,Restricted,29,21,228,43,7,True,all_supplied_training
known_hcp,7,Cardiology,Non-preferred,59,30,324,42,30,True,all_supplied_training
known_hcp,7,Cardiology,Not covered,29,24,143,42,6,True,all_supplied_training
known_hcp,7,Cardiology,Preferred,94,36,263,42,49,True,all_supplied_training
known_hcp,7,Cardiology,Restricted,37,23,241,42,17,True,all_supplied_training
known_hcp,7,Endocrinology,Non-preferred,60,28,378,45,36,True,all_supplied_training
known_hcp,7,Endocrinology,Not covered,23,17,132,44,3,True,all_supplied_training
known_hcp,7,Endocrinology,Preferred,88,36,275,45,60,True,all_supplied_training
known_hcp,7,Endocrinology,Restricted,45,28,246,45,11,True,all_supplied_training
known_hcp,7,Internal Medicine,Non-preferred,95,49,566,67,44,True,all_supplied_training
known_hcp,7,Internal Medicine,Not covered,31,21,196,64,5,True,all_supplied_training
known_hcp,7,Internal Medicine,Preferred,131,53,421,67,50,True,all_supplied_training
known_hcp,7,Internal Medicine,Restricted,58,37,377,67,11,True,all_supplied_training
known_hcp,7,Nephrology,Non-preferred,28,14,184,20,16,True,all_supplied_training
known_hcp,7,Nephrology,Not covered,8,6,56,19,1,True,all_supplied_training
known_hcp,7,Nephrology,Preferred,39,15,119,20,22,True,all_supplied_training
known_hcp,7,Nephrology,Restricted,23,15,110,20,6,True,all_supplied_training
known_hcp,7,Primary Care,Non-preferred,61,30,377,48,25,True,all_supplied_training
known_hcp,7,Primary Care,Not covered,18,14,144,46,7,True,all_supplied_training
known_hcp,7,Primary Care,Preferred,87,33,305,48,36,True,all_supplied_training
known_hcp,7,Primary Care,Restricted,31,22,287,48,13,True,all_supplied_training
known_hcp,8,Cardiology,Non-preferred,27,14,198,25,16,True,all_supplied_training
known_hcp,8,Cardiology,Not covered,12,10,71,24,3,True,all_supplied_training
known_hcp,8,Cardiology,Preferred,46,20,156,25,34,True,all_supplied_training
known_hcp,8,Cardiology,Restricted,26,15,144,25,14,True,all_supplied_training
known_hcp,8,Endocrinology,Non-preferred,51,23,239,29,34,True,all_supplied_training
known_hcp,8,Endocrinology,Not covered,12,12,88,26,1,True,all_supplied_training
known_hcp,8,Endocrinology,Preferred,60,24,176,29,47,True,all_supplied_training
known_hcp,8,Endocrinology,Restricted,22,16,162,29,12,True,all_supplied_training
known_hcp,8,Internal Medicine,Non-preferred,111,54,600,68,43,True,all_supplied_training
known_hcp,8,Internal Medicine,Not covered,28,22,189,64,6,True,all_supplied_training
known_hcp,8,Internal Medicine,Preferred,150,61,387,68,67,True,all_supplied_training
known_hcp,8,Internal Medicine,Restricted,65,45,384,68,23,True,all_supplied_training
known_hcp,8,Nephrology,Non-preferred,20,11,156,18,14,True,all_supplied_training
known_hcp,8,Nephrology,Not covered,5,5,53,18,3,True,all_supplied_training
known_hcp,8,Nephrology,Preferred,36,13,112,18,20,True,all_supplied_training
known_hcp,8,Nephrology,Restricted,14,10,89,18,7,True,all_supplied_training
known_hcp,8,Primary Care,Non-preferred,76,40,472,52,37,True,all_supplied_training
known_hcp,8,Primary Care,Not covered,16,16,146,50,7,True,all_supplied_training
known_hcp,8,Primary Care,Preferred,115,44,310,52,33,True,all_supplied_training
known_hcp,8,Primary Care,Restricted,44,29,272,52,24,True,all_supplied_training
known_hcp,9,Cardiology,Non-preferred,51,24,320,37,54,True,all_supplied_training
known_hcp,9,Cardiology,Not covered,20,15,101,35,8,True,all_supplied_training
known_hcp,9,Cardiology,Preferred,78,30,242,37,59,True,all_supplied_training
known_hcp,9,Cardiology,Restricted,35,24,197,37,16,True,all_supplied_training
known_hcp,9,Endocrinology,Non-preferred,47,22,292,36,46,True,all_supplied_training
known_hcp,9,Endocrinology,Not covered,22,17,114,35,10,True,all_supplied_training
known_hcp,9,Endocrinology,Preferred,49,24,226,35,69,True,all_supplied_training
known_hcp,9,Endocrinology,Restricted,48,23,189,36,17,True,all_supplied_training
known_hcp,9,Internal Medicine,Non-preferred,109,53,526,66,64,True,all_supplied_training
known_hcp,9,Internal Medicine,Not covered,28,25,216,62,14,True,all_supplied_training
known_hcp,9,Internal Medicine,Preferred,134,52,420,66,87,True,all_supplied_training
known_hcp,9,Internal Medicine,Restricted,71,43,378,66,33,True,all_supplied_training
known_hcp,9,Nephrology,Non-preferred,21,13,134,17,17,True,all_supplied_training
known_hcp,9,Nephrology,Not covered,6,6,62,16,2,True,all_supplied_training
known_hcp,9,Nephrology,Preferred,39,14,100,17,25,True,all_supplied_training
known_hcp,9,Nephrology,Restricted,14,9,95,17,10,True,all_supplied_training
known_hcp,9,Primary Care,Non-preferred,87,40,553,65,63,True,all_supplied_training
known_hcp,9,Primary Care,Not covered,23,19,181,62,7,True,all_supplied_training
known_hcp,9,Primary Care,Preferred,117,45,403,65,59,True,all_supplied_training
known_hcp,9,Primary Care,Restricted,62,39,366,65,20,True,all_supplied_training
known_hcp,10,Cardiology,Non-preferred,72,35,375,44,78,True,all_supplied_training
known_hcp,10,Cardiology,Not covered,21,15,131,43,9,True,all_supplied_training
known_hcp,10,Cardiology,Preferred,79,33,275,44,105,True,all_supplied_training
known_hcp,10,Cardiology,Restricted,45,26,245,44,35,True,all_supplied_training
known_hcp,10,Endocrinology,Non-preferred,48,24,292,34,69,True,all_supplied_training
known_hcp,10,Endocrinology,Not covered,13,12,94,33,8,True,all_supplied_training
known_hcp,10,Endocrinology,Preferred,66,27,188,34,59,True,all_supplied_training
known_hcp,10,Endocrinology,Restricted,40,20,214,34,26,True,all_supplied_training
known_hcp,10,Internal Medicine,Non-preferred,94,51,520,63,80,True,all_supplied_training
known_hcp,10,Internal Medicine,Not covered,35,30,182,61,8,True,all_supplied_training
known_hcp,10,Internal Medicine,Preferred,130,52,373,63,87,True,all_supplied_training
known_hcp,10,Internal Medicine,Restricted,64,36,368,63,35,True,all_supplied_training
known_hcp,10,Nephrology,Non-preferred,33,16,178,21,37,True,all_supplied_training
known_hcp,10,Nephrology,Not covered,9,8,65,21,4,True,all_supplied_training
known_hcp,10,Nephrology,Preferred,40,16,118,21,40,True,all_supplied_training
known_hcp,10,Nephrology,Restricted,16,10,110,21,12,True,all_supplied_training
known_hcp,10,Primary Care,Non-preferred,80,43,489,60,64,True,all_supplied_training
known_hcp,10,Primary Care,Not covered,29,21,184,58,8,True,all_supplied_training
