model,capacity,months_selected,hcps,horizon
core_logistic,0.05,1,140,later
core_logistic,0.05,2,60,later
core_logistic,0.05,3,15,later
core_logistic,0.1,1,234,later
core_logistic,0.1,2,133,later
core_logistic,0.1,3,36,later
core_logistic,0.2,1,306,later
core_logistic,0.2,2,253,later
core_logistic,0.2,3,134,later
decile,0.05,1,92,later
decile,0.05,2,69,later
decile,0.05,3,25,later
decile,0.1,1,2,later
decile,0.1,2,54,later
decile,0.1,3,166,later
decile,0.2,1,8,later
decile,0.2,2,96,later
decile,0.2,3,338,later
extended_logistic,0.05,1,145,later
extended_logistic,0.05,2,56,later
extended_logistic,0.05,3,16,later
extended_logistic,0.1,1,235,later
extended_logistic,0.1,2,125,later
extended_logistic,0.1,3,41,later
extended_logistic,0.2,1,319,later
extended_logistic,0.2,2,257,later
extended_logistic,0.2,3,127,later
core_logistic,0.05,1,133,six_month
core_logistic,0.05,2,82,six_month
core_logistic,0.05,3,44,six_month
core_logistic,0.05,4,31,six_month
core_logistic,0.05,5,9,six_month
core_logistic,0.05,6,2,six_month
core_logistic,0.1,1,182,six_month
core_logistic,0.1,2,134,six_month
core_logistic,0.1,3,90,six_month
core_logistic,0.1,4,69,six_month
core_logistic,0.1,5,37,six_month
core_logistic,0.1,6,6,six_month
core_logistic,0.2,1,193,six_month
core_logistic,0.2,2,183,six_month
core_logistic,0.2,3,153,six_month
core_logistic,0.2,4,140,six_month
core_logistic,0.2,5,120,six_month
core_logistic,0.2,6,42,six_month
decile,0.05,1,26,six_month
decile,0.05,2,66,six_month
decile,0.05,3,65,six_month
decile,0.05,4,41,six_month
decile,0.05,5,15,six_month
decile,0.05,6,3,six_month
decile,0.1,3,2,six_month
decile,0.1,4,19,six_month
decile,0.1,5,71,six_month
decile,0.1,6,130,six_month
decile,0.2,2,3,six_month
decile,0.2,3,3,six_month
decile,0.2,4,31,six_month
decile,0.2,5,145,six_month
decile,0.2,6,261,six_month
extended_logistic,0.05,1,138,six_month
extended_logistic,0.05,2,83,six_month
extended_logistic,0.05,3,40,six_month
extended_logistic,0.05,4,32,six_month
extended_logistic,0.05,5,8,six_month
extended_logistic,0.05,6,3,six_month
extended_logistic,0.1,1,189,six_month
extended_logistic,0.1,2,127,six_month
extended_logistic,0.1,3,92,six_month
extended_logistic,0.1,4,72,six_month
extended_logistic,0.1,5,36,six_month
extended_logistic,0.1,6,5,six_month
extended_logistic,0.2,1,201,six_month
extended_logistic,0.2,2,176,six_month
extended_logistic,0.2,3,167,six_month
extended_logistic,0.2,4,140,six_month
extended_logistic,0.2,5,108,six_month
extended_logistic,0.2,6,46,six_month
