model,capacity,months,selection_slots,unique_selected_hcps,hcps_selected_more_than_once,repeat_slots_after_first_selection,observed_positive_selections,horizon
core_logistic,0.05,3,305,215,75,90,95,later
core_logistic,0.1,3,608,403,169,205,166,later
core_logistic,0.2,3,1214,693,387,521,244,later
decile,0.05,3,305,186,94,119,55,later
decile,0.1,3,608,222,220,386,109,later
decile,0.2,3,1214,442,434,772,188,later
extended_logistic,0.05,3,305,217,72,88,103,later
extended_logistic,0.1,3,608,401,166,207,164,later
extended_logistic,0.2,3,1214,703,384,511,241,later
core_logistic,0.05,6,610,301,168,309,181,six_month
core_logistic,0.1,6,1217,518,336,699,316,six_month
core_logistic,0.2,6,2430,831,638,1599,480,six_month
decile,0.05,6,610,216,190,394,106,six_month
decile,0.1,6,1217,222,222,995,206,six_month
decile,0.2,6,2430,443,443,1987,376,six_month
extended_logistic,0.05,6,610,304,166,306,197,six_month
extended_logistic,0.1,6,1217,521,332,696,322,six_month
extended_logistic,0.2,6,2430,838,637,1592,494,six_month
