model,capacity,previous_period,period,previous_selected,current_selected,retained,new_to_monthly_list,removed_from_monthly_list,share_current_also_selected_previous_month,jaccard,horizon
core_logistic,0.05,2025-10,2025-11,102,101,39,62,63,0.38613861386138615,0.23780487804878048,later
core_logistic,0.05,2025-11,2025-12,101,102,30,72,71,0.29411764705882354,0.17341040462427745,later
core_logistic,0.1,2025-10,2025-11,203,202,81,121,122,0.400990099009901,0.25,later
core_logistic,0.1,2025-11,2025-12,202,203,83,120,119,0.4088669950738916,0.2577639751552795,later
core_logistic,0.2,2025-10,2025-11,405,404,214,190,191,0.5297029702970297,0.3596638655462185,later
core_logistic,0.2,2025-11,2025-12,404,405,224,181,180,0.5530864197530864,0.38290598290598293,later
decile,0.05,2025-10,2025-11,102,101,45,56,57,0.44554455445544555,0.2848101265822785,later
decile,0.05,2025-11,2025-12,101,102,51,51,50,0.5,0.3355263157894737,later
decile,0.1,2025-10,2025-11,203,202,185,17,18,0.9158415841584159,0.8409090909090909,later
decile,0.1,2025-11,2025-12,202,203,183,20,19,0.9014778325123153,0.8243243243243243,later
decile,0.2,2025-10,2025-11,405,404,371,33,34,0.9183168316831684,0.8470319634703196,later
decile,0.2,2025-11,2025-12,404,405,369,36,35,0.9111111111111111,0.8386363636363636,later
extended_logistic,0.05,2025-10,2025-11,102,101,37,64,65,0.36633663366336633,0.22289156626506024,later
extended_logistic,0.05,2025-11,2025-12,101,102,34,68,67,0.3333333333333333,0.20118343195266272,later
extended_logistic,0.1,2025-10,2025-11,203,202,85,117,118,0.4207920792079208,0.265625,later
extended_logistic,0.1,2025-11,2025-12,202,203,81,122,121,0.39901477832512317,0.25,later
extended_logistic,0.2,2025-10,2025-11,405,404,204,200,201,0.504950495049505,0.3371900826446281,later
extended_logistic,0.2,2025-11,2025-12,404,405,220,185,184,0.5432098765432098,0.3735144312393888,later
core_logistic,0.05,2025-07,2025-08,102,101,36,65,66,0.3564356435643564,0.2155688622754491,six_month
core_logistic,0.05,2025-08,2025-09,101,102,37,65,64,0.3627450980392157,0.22289156626506024,six_month
core_logistic,0.05,2025-09,2025-10,102,102,30,72,72,0.29411764705882354,0.1724137931034483,six_month
core_logistic,0.05,2025-10,2025-11,102,101,39,62,63,0.38613861386138615,0.23780487804878048,six_month
core_logistic,0.05,2025-11,2025-12,101,102,32,70,69,0.3137254901960784,0.1871345029239766,six_month
core_logistic,0.1,2025-07,2025-08,203,202,84,118,119,0.4158415841584158,0.2616822429906542,six_month
core_logistic,0.1,2025-08,2025-09,202,204,89,115,113,0.4362745098039216,0.2807570977917981,six_month
core_logistic,0.1,2025-09,2025-10,204,203,87,116,117,0.42857142857142855,0.271875,six_month
core_logistic,0.1,2025-10,2025-11,203,202,85,117,118,0.4207920792079208,0.265625,six_month
core_logistic,0.1,2025-11,2025-12,202,203,86,117,116,0.4236453201970443,0.26959247648902823,six_month
core_logistic,0.2,2025-07,2025-08,405,403,204,199,201,0.5062034739454094,0.33774834437086093,six_month
core_logistic,0.2,2025-08,2025-09,403,408,213,195,190,0.5220588235294118,0.35618729096989965,six_month
core_logistic,0.2,2025-09,2025-10,408,405,219,186,189,0.5407407407407407,0.3686868686868687,six_month
core_logistic,0.2,2025-10,2025-11,405,404,216,188,189,0.5346534653465347,0.3642495784148398,six_month
core_logistic,0.2,2025-11,2025-12,404,405,229,176,175,0.5654320987654321,0.39482758620689656,six_month
decile,0.05,2025-07,2025-08,102,101,42,59,60,0.4158415841584158,0.2608695652173913,six_month
decile,0.05,2025-08,2025-09,101,102,46,56,55,0.45098039215686275,0.2929936305732484,six_month
decile,0.05,2025-09,2025-10,102,102,54,48,48,0.5294117647058824,0.36,six_month
decile,0.05,2025-10,2025-11,102,101,45,56,57,0.44554455445544555,0.2848101265822785,six_month
decile,0.05,2025-11,2025-12,101,102,51,51,50,0.5,0.3355263157894737,six_month
decile,0.1,2025-07,2025-08,203,202,185,17,18,0.9158415841584159,0.8409090909090909,six_month
decile,0.1,2025-08,2025-09,202,204,187,17,15,0.9166666666666666,0.8538812785388128,six_month
decile,0.1,2025-09,2025-10,204,203,187,16,17,0.9211822660098522,0.85,six_month
decile,0.1,2025-10,2025-11,203,202,185,17,18,0.9158415841584159,0.8409090909090909,six_month
decile,0.1,2025-11,2025-12,202,203,183,20,19,0.9014778325123153,0.8243243243243243,six_month
decile,0.2,2025-07,2025-08,405,403,367,36,38,0.9106699751861043,0.8321995464852607,six_month
decile,0.2,2025-08,2025-09,403,408,371,37,32,0.9093137254901961,0.8431818181818181,six_month
decile,0.2,2025-09,2025-10,408,405,376,29,32,0.928395061728395,0.8604118993135011,six_month
decile,0.2,2025-10,2025-11,405,404,371,33,34,0.9183168316831684,0.8470319634703196,six_month
decile,0.2,2025-11,2025-12,404,405,369,36,35,0.9111111111111111,0.8386363636363636,six_month
extended_logistic,0.05,2025-07,2025-08,102,101,34,67,68,0.33663366336633666,0.20118343195266272,six_month
extended_logistic,0.05,2025-08,2025-09,101,102,34,68,67,0.3333333333333333,0.20118343195266272,six_month
extended_logistic,0.05,2025-09,2025-10,102,102,35,67,67,0.3431372549019608,0.20710059171597633,six_month
extended_logistic,0.05,2025-10,2025-11,102,101,40,61,62,0.39603960396039606,0.24539877300613497,six_month
extended_logistic,0.05,2025-11,2025-12,101,102,34,68,67,0.3333333333333333,0.20118343195266272,six_month
extended_logistic,0.1,2025-07,2025-08,203,202,76,126,127,0.37623762376237624,0.23100303951367782,six_month
extended_logistic,0.1,2025-08,2025-09,202,204,89,115,113,0.4362745098039216,0.2807570977917981,six_month
extended_logistic,0.1,2025-09,2025-10,204,203,79,124,125,0.3891625615763547,0.24085365853658536,six_month
extended_logistic,0.1,2025-10,2025-11,203,202,81,121,122,0.400990099009901,0.25,six_month
extended_logistic,0.1,2025-11,2025-12,202,203,85,118,117,0.4187192118226601,0.265625,six_month
