hcp_id,period,responded_strict,responded_loose,period_lead1,period_lead2,nbrx_last_month_lead1,nbrx_last_month_lead2,conditional_nbrx_change,direction,csv_line,csv_line_lead1,csv_line_lead2
100000,2024-01,0,1,2024-02,2024-03,2.65,3.94,1.29,up,34262,11003.0,46583.0
100000,2024-02,0,0,2024-03,2024-04,3.94,4.63,0.69,up,11003,46583.0,10028.0
100000,2024-03,0,0,2024-04,2024-05,4.63,4.19,-0.4399999999999995,down,46583,10028.0,46984.0
100000,2024-04,0,1,2024-05,2024-06,4.19,2.7,-1.4900000000000002,down,10028,46984.0,19441.0
100000,2024-05,0,0,2024-06,2024-07,2.7,0.48,-2.22,down,46984,19441.0,18414.0
100000,2024-06,0,0,2024-07,2024-08,0.48,3.96,3.48,up,19441,18414.0,18555.0
100000,2024-07,0,0,2024-08,2024-09,3.96,1.9,-2.06,down,18414,18555.0,4141.0
100000,2024-08,0,0,2024-09,2024-10,1.9,2.43,0.5300000000000002,up,18555,4141.0,9076.0
100000,2024-09,0,0,2024-10,2024-11,2.43,2.07,-0.3600000000000003,down,4141,9076.0,46367.0
100000,2024-10,0,0,2024-11,2024-12,2.07,3.39,1.3200000000000003,up,9076,46367.0,22022.0
100000,2024-11,0,0,2024-12,2025-01,3.39,3.63,0.23999999999999977,up,46367,22022.0,19639.0
100000,2024-12,0,0,2025-01,2025-02,3.63,3.34,-0.29000000000000004,down,22022,19639.0,8261.0
100000,2025-01,0,0,2025-02,2025-03,3.34,2.32,-1.02,down,19639,8261.0,1870.0
100000,2025-02,0,1,2025-03,2025-04,2.32,3.3,0.98,up,8261,1870.0,40500.0
100000,2025-03,0,0,2025-04,2025-05,3.3,1.8,-1.4999999999999998,down,1870,40500.0,15737.0
100000,2025-04,0,0,2025-05,2025-06,1.8,2.47,0.6700000000000002,up,40500,15737.0,37537.0
100000,2025-05,0,0,2025-06,2025-07,2.47,3.4,0.9299999999999997,up,15737,37537.0,42315.0
100000,2025-06,0,0,2025-07,2025-08,3.4,3.5,0.10000000000000009,up,37537,42315.0,41443.0
100000,2025-07,0,0,2025-08,2025-09,3.5,2.95,-0.5499999999999998,down,42315,41443.0,2537.0
