period,input_rows,within_extract_horizon,checked_rows,strict_positives,loose_positives,checked_strict_positives,checked_loose_positives,coverage_fraction
2024-01,2024,2024,1871,150,592,139,549,0.924407114624506
2024-02,2021,2021,1872,161,578,147,527,0.9262741217219198
2024-03,2019,2019,1888,149,615,141,577,0.9351163942545815
2024-04,2022,2022,1885,147,581,132,543,0.9322453016815034
2024-05,2036,2036,1891,150,572,139,531,0.9287819253438114
2024-06,2018,2018,1893,131,549,123,517,0.9380574826560951
2024-07,2031,2031,1888,133,541,124,500,0.92959133431807
2024-08,2038,2038,1889,112,496,108,459,0.9268891069676153
2024-09,2012,2012,1882,115,478,108,448,0.9353876739562624
2024-10,2031,2031,1881,135,488,124,454,0.9261447562776958
2024-11,2030,2030,1877,130,518,118,489,0.9246305418719212
2024-12,2015,2015,1873,127,531,117,499,0.9295285359801488
2025-01,2023,2023,1883,151,540,139,496,0.9307958477508651
2025-02,2023,2023,1896,158,621,143,576,0.9372219476025705
2025-03,2027,2027,1900,169,575,160,544,0.9373458312777504
2025-04,2038,2038,1889,154,565,143,520,0.9268891069676153
2025-05,2028,2028,1874,124,527,114,486,0.9240631163708086
2025-06,2014,2014,1859,117,521,109,484,0.923038728897716
2025-07,2025,2025,1881,150,594,138,557,0.9288888888888889
2025-08,2012,2012,1876,146,542,133,501,0.9324055666003976
2025-09,2038,2038,1880,155,539,141,495,0.9224730127576055
2025-10,2021,2021,1867,159,530,147,483,0.9238000989609104
2025-11,2017,0,0,158,546,0,0,0.0
2025-12,2022,0,0,143,547,0,0,0.0
