label_value,direction,rows,target,period,share_within_label
0,down,19254,responded_strict,ALL,0.5
0,equal,45,responded_strict,ALL,0.001168588345278903
0,up,19209,responded_strict,ALL,0.4988314116547211
1,down,1379,responded_strict,ALL,0.47765846899896086
1,equal,4,responded_strict,ALL,0.0013855213023900243
1,up,1504,responded_strict,ALL,0.5209560096986491
0,down,846,responded_strict,2024-01,0.4884526558891455
0,equal,1,responded_strict,2024-01,0.0005773672055427252
0,up,885,responded_strict,2024-01,0.5109699769053118
1,down,56,responded_strict,2024-01,0.4028776978417266
1,up,83,responded_strict,2024-01,0.5971223021582733
0,down,881,responded_strict,2024-02,0.5107246376811594
0,equal,1,responded_strict,2024-02,0.0005797101449275362
0,up,843,responded_strict,2024-02,0.48869565217391303
1,down,80,responded_strict,2024-02,0.54421768707483
1,up,67,responded_strict,2024-02,0.4557823129251701
0,down,861,responded_strict,2024-03,0.4928448769318832
0,up,886,responded_strict,2024-03,0.5071551230681167
1,down,64,responded_strict,2024-03,0.45390070921985815
1,up,77,responded_strict,2024-03,0.5460992907801419
0,down,902,responded_strict,2024-04,0.5145464917284654
0,equal,4,responded_strict,2024-04,0.0022818026240730175
0,up,847,responded_strict,2024-04,0.4831717056474615
1,down,61,responded_strict,2024-04,0.4621212121212121
1,up,71,responded_strict,2024-04,0.5378787878787878
0,down,898,responded_strict,2024-05,0.5125570776255708
0,up,854,responded_strict,2024-05,0.4874429223744292
1,down,63,responded_strict,2024-05,0.45323741007194246
1,up,76,responded_strict,2024-05,0.5467625899280576
0,down,886,responded_strict,2024-06,0.5005649717514125
0,equal,2,responded_strict,2024-06,0.0011299435028248588
0,up,882,responded_strict,2024-06,0.49830508474576274
1,down,45,responded_strict,2024-06,0.36585365853658536
1,up,78,responded_strict,2024-06,0.6341463414634146
0,down,870,responded_strict,2024-07,0.4931972789115646
0,equal,3,responded_strict,2024-07,0.0017006802721088435
0,up,891,responded_strict,2024-07,0.5051020408163265
1,down,66,responded_strict,2024-07,0.532258064516129
1,up,58,responded_strict,2024-07,0.46774193548387094
0,down,918,responded_strict,2024-08,0.5154407636159462
0,equal,2,responded_strict,2024-08,0.0011229646266142617
0,up,861,responded_strict,2024-08,0.48343627175743964
1,down,49,responded_strict,2024-08,0.4537037037037037
1,up,59,responded_strict,2024-08,0.5462962962962963
0,down,893,responded_strict,2024-09,0.5033821871476888
0,equal,2,responded_strict,2024-09,0.0011273957158962795
0,up,879,responded_strict,2024-09,0.4954904171364149
1,down,61,responded_strict,2024-09,0.5648148148148148
1,equal,1,responded_strict,2024-09,0.009259259259259259
1,up,46,responded_strict,2024-09,0.42592592592592593
0,down,880,responded_strict,2024-10,0.5008537279453614
0,equal,2,responded_strict,2024-10,0.0011383039271485487
0,up,875,responded_strict,2024-10,0.49800796812749004
1,down,59,responded_strict,2024-10,0.47580645161290325
1,up,65,responded_strict,2024-10,0.5241935483870968
0,down,883,responded_strict,2024-11,0.5019897669130188
0,equal,5,responded_strict,2024-11,0.0028425241614553724
0,up,871,responded_strict,2024-11,0.49516770892552586
1,down,59,responded_strict,2024-11,0.5
1,up,59,responded_strict,2024-11,0.5
0,down,882,responded_strict,2024-12,0.5022779043280182
0,equal,1,responded_strict,2024-12,0.0005694760820045558
0,up,873,responded_strict,2024-12,0.4971526195899772
1,down,50,responded_strict,2024-12,0.42735042735042733
1,up,67,responded_strict,2024-12,0.5726495726495726
0,down,884,responded_strict,2025-01,0.5068807339449541
0,equal,1,responded_strict,2025-01,0.0005733944954128441
0,up,859,responded_strict,2025-01,0.49254587155963303
1,down,69,responded_strict,2025-01,0.49640287769784175
1,equal,1,responded_strict,2025-01,0.007194244604316547
1,up,69,responded_strict,2025-01,0.49640287769784175
0,down,884,responded_strict,2025-02,0.5042783799201369
0,equal,5,responded_strict,2025-02,0.002852253280091272
0,up,864,responded_strict,2025-02,0.49286936679977184
1,down,65,responded_strict,2025-02,0.45454545454545453
1,up,78,responded_strict,2025-02,0.5454545454545454
0,down,836,responded_strict,2025-03,0.4804597701149425
0,equal,4,responded_strict,2025-03,0.0022988505747126436
0,up,900,responded_strict,2025-03,0.5172413793103449
1,down,73,responded_strict,2025-03,0.45625
1,up,87,responded_strict,2025-03,0.54375
0,down,855,responded_strict,2025-04,0.4896907216494845
0,equal,2,responded_strict,2025-04,0.001145475372279496
0,up,889,responded_strict,2025-04,0.5091638029782359
1,down,74,responded_strict,2025-04,0.5174825174825175
1,equal,1,responded_strict,2025-04,0.006993006993006993
1,up,68,responded_strict,2025-04,0.4755244755244755
0,down,858,responded_strict,2025-05,0.4875
0,equal,2,responded_strict,2025-05,0.0011363636363636363
0,up,900,responded_strict,2025-05,0.5113636363636364
1,down,59,responded_strict,2025-05,0.5175438596491229
1,up,55,responded_strict,2025-05,0.4824561403508772
0,down,860,responded_strict,2025-06,0.49142857142857144
0,equal,2,responded_strict,2025-06,0.001142857142857143
0,up,888,responded_strict,2025-06,0.5074285714285715
1,down,49,responded_strict,2025-06,0.44954128440366975
1,up,60,responded_strict,2025-06,0.5504587155963303
0,down,887,responded_strict,2025-07,0.5088927137119909
0,equal,1,responded_strict,2025-07,0.0005737234652897303
0,up,855,responded_strict,2025-07,0.4905335628227194
