hcp_id,period,responded_strict,responded_loose,period_lead1,period_lead2,nbrx_last_month_lead1,nbrx_last_month_lead2,conditional_nbrx_change,direction,csv_line,csv_line_lead1,csv_line_lead2
100000,2024-01,0,1,2024-02,2024-03,2.65,3.94,1.29,up,34262,11003.0,46583.0
100000,2024-02,0,0,2024-03,2024-04,3.94,4.63,0.69,up,11003,46583.0,10028.0
100000,2024-03,0,0,2024-04,2024-05,4.63,4.19,-0.4399999999999995,down,46583,10028.0,46984.0
100000,2024-04,0,1,2024-05,2024-06,4.19,2.7,-1.4900000000000002,down,10028,46984.0,19441.0
100000,2024-05,0,0,2024-06,2024-07,2.7,0.48,-2.22,down,46984,19441.0,18414.0
100000,2024-06,0,0,2024-07,2024-08,0.48,3.96,3.48,up,19441,18414.0,18555.0
100000,2024-07,0,0,2024-08,2024-09,3.96,1.9,-2.06,down,18414,18555.0,4141.0
100000,2024-08,0,0,2024-09,2024-10,1.9,2.43,0.5300000000000002,up,18555,4141.0,9076.0
100000,2025-02,0,1,2025-03,2025-04,2.32,3.3,0.98,up,8261,1870.0,40500.0
100000,2025-09,0,1,2025-10,2025-11,2.94,1.94,-1.0,down,2537,29685.0,28110.0
100001,2024-01,0,1,2024-02,2024-03,14.03,13.11,-0.9199999999999999,down,21871,7233.0,42301.0
100001,2024-05,1,1,2024-06,2024-07,17.61,18.35,0.740000000000002,up,35217,19584.0,14497.0
100001,2024-06,1,1,2024-07,2024-08,18.35,20.24,1.889999999999997,up,19584,14497.0,13485.0
100001,2024-08,0,1,2024-09,2024-10,6.06,10.56,4.500000000000001,up,13485,41712.0,12156.0
100001,2024-10,1,1,2024-11,2024-12,13.87,18.25,4.380000000000001,up,12156,8711.0,7527.0
100002,2024-06,1,1,2024-07,2024-08,9.97,3.35,-6.620000000000001,down,7029,45869.0,2052.0
100002,2025-10,1,1,2025-11,2025-12,18.39,8.86,-9.530000000000001,down,32325,48322.0,33371.0
100003,2025-08,1,1,2025-09,2025-10,17.7,9.2,-8.5,down,27340,41975.0,13857.0
100053,2025-03,0,0,2025-04,2025-05,13.25,13.25,0.0,equal,47864,6107.0,45249.0
100057,2025-03,0,0,2025-04,2025-05,8.72,8.72,0.0,equal,19169,45741.0,25608.0
100111,2024-11,0,0,2024-12,2025-01,5.26,5.26,0.0,equal,7860,3555.0,29633.0
100391,2024-07,0,1,2024-08,2024-09,8.37,8.37,0.0,equal,15343,30314.0,1358.0
100417,2025-10,1,1,2025-11,2025-12,5.42,5.42,0.0,equal,37481,32752.0,14496.0
100524,2024-10,0,1,2024-11,2024-12,12.92,12.92,0.0,equal,21113,41328.0,15271.0
100566,2025-02,0,1,2025-03,2025-04,5.39,5.39,0.0,equal,516,17115.0,11259.0
100694,2025-04,1,1,2025-05,2025-06,17.12,17.12,0.0,equal,2462,11246.0,36551.0
100764,2025-01,1,1,2025-02,2025-03,11.35,11.35,0.0,equal,30073,42202.0,27574.0
