dataset,decile,rows,patient_values,patient_value,nbrx_values,nbrx_value
score,1,1278,1,72.0,1,1.28
score,2,1184,1,84.0,1,1.83
score,3,1377,1,96.0,1,2.37
score,4,1230,1,108.0,1,2.92
score,5,1273,1,120.0,1,3.47
score,6,1288,1,133.0,1,4.02
score,7,1333,1,145.0,1,4.57
score,8,1178,1,157.0,1,5.11
score,9,1272,1,169.0,1,5.66
score,10,1310,1,181.0,1,6.21
train,1,4687,1,64.0,1,3.06
train,2,4503,1,75.0,1,4.37
train,3,5323,1,86.0,1,5.69
train,4,4627,1,97.0,1,7.0
train,5,4843,1,107.0,1,8.31
train,6,4834,1,118.0,1,9.62
train,7,5144,1,129.0,1,10.94
train,8,4404,1,139.0,1,12.25
train,9,5115,1,150.0,1,13.56
train,10,5105,1,161.0,1,14.87
