feature,train_mean,recent_train_mean,score_mean,recent_train_unique,score_unique,recent_train_missing,score_missing,ks_distance_observed,strict_pearson_correlation_train
days_since_last_call,4.1489348564371715,4.619200659250103,16.55623673661872,7,12,0.0,0.0,0.9826298828892557,-0.13539932797817328
nbrx_3m_avg,9.034490480601008,9.032756489493202,3.7490159553564406,10,10,0.0,0.0,0.7072552389718473,0.18550673557618433
trx_3m_avg,30.71628938972934,30.67334074989699,12.780871649768136,4869,2462,0.0,0.0,0.5957308659254378,0.16000375894719582
nbrx_last_month,9.040584542554287,9.031563246806758,3.7570093531399826,2078,978,0.0,0.0,0.5284436359912705,0.1503809392652879
patient_volume_est,113.1581763918905,113.14322208487845,126.6114124027352,10,10,0.0,0.0,0.20293955828027976,0.18544921924760552
followup_call_logged_flag,0.15340125553154266,0.15747836835599505,0.12082262210796915,2,2,0.0,0.8777017998899631,0.03665574624802592,0.5234564604348187
emails_opened_last_90d,1.9682618092003705,1.9892047795632468,1.9420734103591921,10,11,0.0,0.0,0.017890553174142232,0.010252142681158297
digital_engagement_score,48.60862200267573,48.58103007828594,48.355859467106825,796,805,0.0,0.0,0.015319190195733912,0.05379548980331433
calls_last_90d,4.009900174951117,3.11578079934075,3.0864575964788177,17,16,0.0,0.0,0.01124825085857667,0.15223648348233804
email_sent_last_90d,6.493444478748585,6.529460238978162,6.49579501689853,20,20,0.0,0.0,0.00907232524300472,-0.0005210603016459216
payer_mix_commercial_pct,55.53476999073788,55.35562422744128,55.55240116324766,804,816,0.0,0.0,0.008667444483856701,0.00013590304912957898
years_in_practice,16.18530410620562,16.18788627935723,16.101705572585082,42,43,0.0,0.0,0.008201570265815139,0.00504657133933816
decile,5.551384172069569,5.550061804697157,5.509156645445256,10,10,0.0,0.0,0.007278818316341584,0.1855179349773455
competitor_share_pct,51.524034166923954,51.58408735063865,51.42837381120805,962,962,0.0,0.0,0.007256297953532498,-0.10829370692395865
speaker_program_attended_12m,0.16155191931666152,0.15714874330449113,0.16324766171500432,2,2,0.0,0.0,0.006098918410513243,0.06813930416258197
samples_dropped_last_90d,3.6015436863229393,2.774371652245571,2.7834630197280514,21,20,0.0,0.0,0.005048894350255018,0.12019072216939093
territory_target_refresh_flag,0.2625501698054955,0.26188710341985993,0.2587440069166077,2,2,0.0,0.0,0.003143096503252174,0.20231945509304192
