feature,value,rows,strict_positives,strict_rate,loose_rate
decile,1,4687,62,0.01322807766161724,0.09067633880947301
decile,2,4503,80,0.017765933821896514,0.10903841883188985
decile,3,5323,160,0.030058237835806877,0.1392072139770806
decile,4,4627,160,0.034579641236222175,0.1703047330883942
decile,5,4843,243,0.050175511046871776,0.22424117282676026
decile,6,4834,299,0.0618535374431113,0.2695490277203144
decile,7,5144,448,0.08709175738724728,0.3394245723172628
decile,8,4404,445,0.10104450499545867,0.36239782016348776
decile,9,5115,680,0.13294232649071358,0.4641251221896383
decile,10,5105,847,0.16591576885406464,0.516356513222331
specialty,Cardiology,8037,731,0.09095433619509767,0.31628717183028493
specialty,Endocrinology,8016,744,0.09281437125748503,0.3338323353293413
specialty,Internal Medicine,14947,948,0.0634240984813006,0.2552351642470061
specialty,Nephrology,4612,325,0.0704683434518647,0.2816565481352992
specialty,Primary Care,12973,676,0.05210822477453172,0.2199953750096354
region,Central,7918,588,0.07426117706491538,0.27292245516544583
region,East,9679,681,0.07035850811034197,0.2654199814030375
region,North,11663,827,0.07090799965703506,0.2701706250535883
region,South,8573,549,0.06403825965239707,0.2577860725533652
region,West,10752,779,0.0724516369047619,0.2878534226190476
institution_type,Academic,6316,435,0.06887270424319189,0.28277390753641546
institution_type,Group Practice,11656,764,0.06554564172958133,0.259866163349348
institution_type,Hospital,14355,1073,0.07474747474747474,0.27711598746081506
institution_type,Private Clinic,16258,1152,0.07085742403739698,0.270205437323164
formulary_status,Non-preferred,17561,1207,0.06873184898354308,0.2720801776664199
formulary_status,Not covered,6223,161,0.025871766029246346,0.13675076329744495
formulary_status,Preferred,13088,1555,0.11881112469437653,0.402200488997555
formulary_status,Restricted,11713,501,0.04277298727909161,0.19576538888414582
